Chromosome	kbp_pos	scaffold	close_Wagner_SNPs	Gene_1	Gene_2	Gene_3		
1	112410.774	CM022157.1	NA					
1	112453.339	CM022157.1	NA					
1	112618.143	CM022157.1	NA	Hunk_1				
1	112670.821	CM022157.1	NA					
1	113169.566	CM022157.1	NA					
1A	161.588	JAAMOC010000104.1	NA					
1A	400.447	JAAMOC010000547.1	NA					
1A	976.744	JAAMOC010000548.1	NA					
1A	1461.373	JAAMOC010000548.1	NA	Rergl				
1A	1837.282	JAAMOC010000547.1	NA					
1A	2135.92	JAAMOC010000547.1	NA					
1A	2270.667	JAAMOC010000547.1	NA					
1A	3111.211	JAAMOC010000548.1	NA					
1A	4297.719	JAAMOC010000548.1	NA					
1A	5597.202	JAAMOC010000547.1	NA					
1A	6046.076	JAAMOC010000547.1	NA					
1A	6410.355	JAAMOC010000547.1	NA					
1A	10471.105	JAAMOC010000547.1	NA	Magi2_0				
1A	10597.7	JAAMOC010000547.1	NA					
1A	12750.942	JAAMOC010000547.1	NA					
1A	13410.623	JAAMOC010000547.1	NA					
1A	13481.891	JAAMOC010000547.1	NA					
1A	13889.221	JAAMOC010000547.1	NA	Arhgef5				
1A	14135.911	JAAMOC010000547.1	NA	Grk5_2				
1A	16100.237	JAAMOC010000547.1	NA	Pyroxd1				
1A	17294.441	JAAMOC010000547.1	NA	Ppfibp1				
1A	19137.135	JAAMOC010000547.1	NA	Mkrn1_0				
1A	20110.382	JAAMOC010000547.1	NA					
1A	23334.482	JAAMOC010000547.1	NA					
1A	25229.555	JAAMOC010000547.1	NA					
1A	26313.294	JAAMOC010000547.1	NA					
1A	26343.219	JAAMOC010000547.1	NA	Rbfox2				
1A	26462.182	JAAMOC010000547.1	NA					
1A	28597.533	JAAMOC010000547.1	NA					
1A	29054.268	JAAMOC010000547.1	NA	Srebf2				
1A	29067.429	JAAMOC010000547.1	NA	Shisa8				
1A	30339.691	JAAMOC010000547.1	NA					
1A	30346.955	JAAMOC010000547.1	NA					
1A	32297.648	JAAMOC010000547.1	NA					
1A	32336.918	JAAMOC010000547.1	NA					
1A	33194.515	JAAMOC010000547.1	NA	Fgd6				
1A	34466.042	JAAMOC010000547.1	NA					
1A	40430.559	JAAMOC010000547.1	NA					
1A	42479.233	JAAMOC010000547.1	NA					
1A	42982.24	JAAMOC010000547.1	NA					
1A	48078.694	JAAMOC010000547.1	NA					
1A	48370.076	JAAMOC010000547.1	NA					
1A	49973.71	JAAMOC010000547.1	NA					
1A	55832.478	JAAMOC010000547.1	NA					
1A	59296.235	JAAMOC010000547.1	NA					
1A	62060.42	JAAMOC010000547.1	NA					
1A	62108.006	JAAMOC010000547.1	NA					
1A	62177.962	JAAMOC010000547.1	NA					
1A	64602.341	JAAMOC010000547.1	NA	Kcnj8				
1A	64887.823	JAAMOC010000547.1	NA					
1A	65671.073	JAAMOC010000547.1	NA					
1A	66567.298	JAAMOC010000547.1	NA					
1A	66909.552	JAAMOC010000547.1	NA					
1A	67085.186	JAAMOC010000547.1	NA					
1A	67147.28	JAAMOC010000547.1	NA					
1A	67179.532	JAAMOC010000547.1	NA	Polr1e				
1A	67200.317	JAAMOC010000547.1	NA	Dcaf10				
1A	67202.875	JAAMOC010000547.1	NA	Dcaf10				
1A	67292.729	JAAMOC010000547.1	NA					
1A	67451.986	JAAMOC010000547.1	NA					
1A	67493.873	JAAMOC010000547.1	NA					
1A	68099.678	JAAMOC010000547.1	NA					
1A	68185.802	JAAMOC010000547.1	NA					
1A	68609.13	JAAMOC010000547.1	NA					
1A	68667.748	JAAMOC010000547.1	NA					
1B	911.527	CM022175.1	NA					
2	880.605	JAAMOC010000550.1	NA					
2	3074.144	JAAMOC010000550.1	NA	Wdr48				
2	3738.209	JAAMOC010000550.1	NA					
2	4094.96	JAAMOC010000551.1	NA					
2	6485.52	JAAMOC010000550.1	NA					
2	6544.864	JAAMOC010000550.1	NA	Snap47				
2	7490.732	JAAMOC010000550.1	NA					
2	8119.87	JAAMOC010000550.1	NA					
2	8307.387	JAAMOC010000550.1	NA					
2	11395.779	JAAMOC010000551.1	NA	Mocos				
2	13010.379	JAAMOC010000551.1	NA					
2	15911.927	JAAMOC010000550.1	NA					
2	15989.327	JAAMOC010000550.1	NA					
2	16040.302	JAAMOC010000550.1	NA					
2	16052.322	JAAMOC010000550.1	NA					
2	17572.181	JAAMOC010000550.1	NA					
2	18003.5	JAAMOC010000551.1	NA					
2	18038.777	JAAMOC010000551.1	NA					
2	18095.213	JAAMOC010000551.1	NA					
2	19634.948	JAAMOC010000550.1	NA					
2	21774.47	JAAMOC010000550.1	NA					
2	23270.694	JAAMOC010000550.1	NA					
2	24274.269	JAAMOC010000550.1	NA					
2	24965.785	JAAMOC010000550.1	NA					
2	30767.913	JAAMOC010000550.1	NA					
2	31197.811	JAAMOC010000550.1	NA					
2	34336.245	JAAMOC010000550.1	NA					
2	41577.804	JAAMOC010000550.1	NA					
2	41777.608	JAAMOC010000550.1	NA					
2	41905.837	JAAMOC010000550.1	NA					
2	41944.993	JAAMOC010000550.1	NA					
2	43567.426	JAAMOC010000550.1	NA	Acad11				
2	45186.347	JAAMOC010000550.1	NA					
2	45220.401	JAAMOC010000550.1	NA					
2	51909.452	JAAMOC010000550.1	NA					
2	54384.747	JAAMOC010000550.1	NA					
2	54978.175	JAAMOC010000550.1	NA	Cdh12				
2	61212.032	JAAMOC010000550.1	NA					
2	66540.128	JAAMOC010000550.1	NA					
2	71640.837	JAAMOC010000550.1	NA					
2	72790.529	JAAMOC010000550.1	NA					
2	73050.151	JAAMOC010000550.1	NA					
2	77799.987	JAAMOC010000550.1	NA					
2	78104.142	JAAMOC010000550.1	NA					
2	82661.665	JAAMOC010000550.1	NA					
2	83884.292	JAAMOC010000550.1	NA					
2	86104.405	JAAMOC010000550.1	NA					
2	97361.144	JAAMOC010000550.1	NA					
2	101286.633	JAAMOC010000550.1	NA					
2	102134.335	JAAMOC010000550.1	NA					
2	103088.915	JAAMOC010000550.1	NA					
2	111770.603	JAAMOC010000550.1	NA					
2	112098.301	JAAMOC010000550.1	NA	Ncoa2				
2	117623.689	JAAMOC010000550.1	NA					
2	121890.383	JAAMOC010000550.1	NA					
2	122667.037	JAAMOC010000550.1	NA					
2	125817.742	JAAMOC010000550.1	NA					
2	126002.925	JAAMOC010000550.1	NA					
2	127272.161	JAAMOC010000550.1	NA					
2	130025.35	JAAMOC010000550.1	NA					
3	3.665	JAAMOC010000568.1	"0.341691,0.820706,1.069792,1.347592,2.729862,2.837769,3.153625,4.285709,4.28572,4.425276,5.358485,6.233192,7.267446,7.440736,7.614907,7.627322,8.378728,8.651913,8.651937,2.67978,5.675146,7.454648,7.454654,7.959926,8.3787,8.554924,1.251142,4.705062,7.270207"					
3	45.953	JAAMOC010000008.1	"41.481397,42.268621,42.508462,42.508469,43.464952,44.685122,45.241297,45.671249,46.201302,46.418378,46.427897,47.192532,47.362058,47.800602,47.879507,47.949212,48.052097,48.075164,48.183751,48.30678,48.347488,48.771015,48.967837,48.967866,49.122247,42.296915,43.611631,47.455586,48.144072,41.721732,47.96685"	Otof_1				
3	70.647	JAAMOC010000016.1	"66.806799,66.984086,70.079897,70.112825,70.166409,71.014168,71.014177,71.37128,71.659841,72.53516,74.496502,74.554159,74.803999,70.112878,72.408539,72.85468,73.339431,73.959962,74.751248,67.827319,71.272993,70.592002"	Pnoc				
3	566.829	JAAMOC010000568.1	NA					
3	2235.56	JAAMOC010000567.1	NA	Nt5e				
3	2812.332	JAAMOC010000568.1	NA					
3	3503.135	JAAMOC010000568.1	NA					
3	4488.111	JAAMOC010000567.1	NA					
3	4667.099	JAAMOC010000568.1	NA					
3	7060.398	JAAMOC010000568.1	NA					
3	7156.729	JAAMOC010000568.1	NA					
3	7989.542	JAAMOC010000565.1	NA	Angel2				
3	10220.937	JAAMOC010000567.1	NA	Zmiz1				
3	11389.309	JAAMOC010000568.1	NA					
3	12149.175	JAAMOC010000567.1	NA					
3	12597.495	JAAMOC010000568.1	NA	Neil2				
3	15585.735	JAAMOC010000567.1	NA					
3	20029.336	JAAMOC010000565.1	NA					
3	20298.402	JAAMOC010000565.1	NA					
3	22568.855	JAAMOC010000565.1	NA					
3	22883.751	JAAMOC010000565.1	NA					
3	24354.298	JAAMOC010000565.1	NA					
3	29924.718	JAAMOC010000565.1	NA					
3	32534.524	JAAMOC010000565.1	NA					
3	35713.404	JAAMOC010000565.1	NA	Pcnx2				
3	35895.502	JAAMOC010000565.1	NA					
3	38916.844	JAAMOC010000565.1	NA					
3	52746.289	JAAMOC010000565.1	NA	Mep1a				
3	56398.813	JAAMOC010000565.1	NA					
3	59319.116	JAAMOC010000565.1	NA					
3	60097.315	JAAMOC010000565.1	NA					
3	60471.91	JAAMOC010000565.1	NA					
3	68127.801	JAAMOC010000565.1	NA					
3	71504.206	JAAMOC010000565.1	NA	Perp_1				
3	88834.506	JAAMOC010000565.1	NA					
4	301.303	JAAMOC010000021.1	NA					
4	1102.448	JAAMOC010000569.1	NA					
4	1422.095	JAAMOC010000570.1	NA					
4	3137.794	JAAMOC010000569.1	NA					
4	3293.376	JAAMOC010000569.1	NA	Wdfy3				
4	3402.882	JAAMOC010000570.1	NA					
4	4321.227	JAAMOC010000569.1	NA					
4	6039.464	JAAMOC010000569.1	NA					
4	7832.632	JAAMOC010000569.1	NA					
4	11788.267	JAAMOC010000569.1	NA					
4	23099.159	JAAMOC010000569.1	NA					
4	23105.649	JAAMOC010000569.1	NA					
4	23124.871	JAAMOC010000569.1	NA					
4	25070.012	JAAMOC010000569.1	NA	Egf				
4	25106.616	JAAMOC010000569.1	NA					
4	25755.732	JAAMOC010000569.1	NA					
4	26171.903	JAAMOC010000569.1	NA	Sult1d1	Sult1b1_1	Sult1b1_0		
4	27026.983	JAAMOC010000569.1	NA					
4	29509.991	JAAMOC010000569.1	NA					
4	35342.795	JAAMOC010000569.1	NA					
4	44337.425	JAAMOC010000569.1	NA					
4	45345.601	JAAMOC010000569.1	NA					
4	45432.203	JAAMOC010000569.1	NA	Slc10a4				
4	54025.794	JAAMOC010000569.1	NA					
4	55472.127	JAAMOC010000569.1	NA					
4	56523.601	JAAMOC010000569.1	NA					
4	59854.606	JAAMOC010000569.1	NA					
4	62088.852	JAAMOC010000569.1	NA	Mfsd10				
4	63854.166	JAAMOC010000569.1	NA					
4	64449.333	JAAMOC010000569.1	NA					
4A	587.077	JAAMOC010000573.1	NA					
4A	720.622	JAAMOC010000573.1	NA					
4A	768.441	JAAMOC010000573.1	NA					
4A	1053.64	JAAMOC010000573.1	NA					
4A	1096.475	JAAMOC010000573.1	NA					
4A	1165.989	JAAMOC010000572.1	NA					
4A	1475.826	JAAMOC010000574.1	NA					
4A	1486.174	JAAMOC010000574.1	NA					
4A	1511.243	JAAMOC010000574.1	NA					
4A	1524.771	JAAMOC010000574.1	NA					
4A	2019.1	JAAMOC010000572.1	NA					
4A	2155.017	JAAMOC010000572.1	NA					
4A	2382.957	JAAMOC010000572.1	NA					
4A	2610.355	JAAMOC010000571.1	NA					
4A	2700.213	JAAMOC010000571.1	NA					
4A	2800.01	JAAMOC010000572.1	NA	Fam155b				
4A	2979.486	JAAMOC010000573.1	NA					
4A	3693.371	JAAMOC010000572.1	NA	Hsf3				
5	660.118	CM022158.1	NA					
5	7886.024	CM022158.1	NA					
5	8925.669	CM022158.1	NA	Pgghg	Ifitm5			
5	8991.341	CM022158.1	NA					
5	9002.671	CM022158.1	NA					
5	9058.021	CM022158.1	NA	Serping1	Ube2l5	Smtnl1		
5	9071.822	CM022158.1	NA					
5	9130.209	CM022158.1	NA					
5	9137.017	CM022158.1	NA	Zfp91				
5	9143.276	CM022158.1	NA	Cntf	Zfp91			
5	9146.656	CM022158.1	NA	Cntf				
5	9154.5	CM022158.1	NA	Dtx4				
5	9921.19	CM022158.1	NA					
5	11487.877	CM022158.1	NA	Sptb				
5	11508.13	CM022158.1	NA	Rab15_1				
5	11522.561	CM022158.1	NA	Aldh3b1_0	Aldh3b1_1			
5	11728.31	CM022158.1	NA					
5	11818.167	CM022158.1	NA	Pak6				
5	13323.269	CM022158.1	NA					
5	14334.313	CM022158.1	NA					
5	15115.321	CM022158.1	NA					
5	15435.284	CM022158.1	NA	Syt9				
5	15993.056	CM022158.1	NA					
5	16075.791	CM022158.1	NA					
5	16214.524	CM022158.1	NA					
5	16493.09	CM022158.1	NA					
5	18609.64	CM022158.1	NA					
5	20471.945	CM022158.1	NA					
5	20550.371	CM022158.1	NA					
5	20866.339	CM022158.1	NA					
5	22392.284	CM022158.1	NA	Trim9				
5	22484.491	CM022158.1	NA					
5	22511.309	CM022158.1	NA					
5	22580.148	CM022158.1	NA					
5	23423.669	CM022158.1	NA					
5	24437.78	CM022158.1	NA					
5	24852.322	CM022158.1	NA	Dact1				
5	25774.035	CM022158.1	NA					
5	26581.593	CM022158.1	NA					
5	32023.589	CM022158.1	NA					
5	37826.625	CM022158.1	NA					
5	38725.613	CM022158.1	NA	Flrt2				
5	44171.203	CM022158.1	NA					
5	46993.18	CM022158.1	NA					
5	47083.161	CM022158.1	NA	Heatr5a				
5	53902.76	CM022158.1	NA					
5	55393.282	CM022158.1	NA					
5	55463.976	CM022158.1	NA	Rgs6				
5	57155.749	CM022158.1	NA	Mapkbp1				
5	62326.371	CM022158.1	NA					
6	225.344	JAAMOC010000577.1	NA	Adra2a				
6	884.286	JAAMOC010000577.1	NA					
6	2924.52	JAAMOC010000577.1	NA					
6	6763.434	JAAMOC010000578.1	NA					
6	7270.182	JAAMOC010000578.1	NA	Ptpre				
7	360.365	JAAMOC010000580.1	NA	Rpe				
7	366.031	JAAMOC010000580.1	NA	Rpe	Unc80			
7	472.581	JAAMOC010000580.1	NA	Unc80				
7	1304.511	JAAMOC010000580.1	NA					
7	2211.736	JAAMOC010000580.1	NA					
7	3408.675	JAAMOC010000580.1	NA					
7	3453.418	JAAMOC010000579.1	NA					
7	3569.748	JAAMOC010000579.1	NA					
7	4257.501	JAAMOC010000579.1	NA					
7	16250.044	JAAMOC010000580.1	NA	Slc4a10_1				
7	18366.934	JAAMOC010000580.1	NA					
7	20052.469	JAAMOC010000580.1	NA					
7	22982.241	JAAMOC010000580.1	NA					
7	25725.399	JAAMOC010000580.1	NA	Bmpr2				
7	25971.908	JAAMOC010000580.1	NA	Fzd7				
7	26957.911	JAAMOC010000580.1	NA					
7	30495.624	JAAMOC010000580.1	NA					
7	33864.394	JAAMOC010000580.1	NA	Galnt13				
7	33989.772	JAAMOC010000580.1	NA	Fmnl2				
7	34051.523	JAAMOC010000580.1	NA					
8	2304.42	JAAMOC010000581.1	NA					
8	2616.955	JAAMOC010000582.1	NA	Cdc20	Mpl			
8	2806.357	JAAMOC010000582.1	NA					
8	3918.701	JAAMOC010000581.1	NA					
8	5051.094	JAAMOC010000582.1	NA					
8	5590.411	JAAMOC010000582.1	NA					
8	9171.688	JAAMOC010000582.1	NA					
8	9767.795	JAAMOC010000582.1	NA					
8	12679.478	JAAMOC010000582.1	NA					
8	12856.505	JAAMOC010000582.1	NA	Clcc1	Wdr47			
8	14268.391	JAAMOC010000582.1	NA	F13b				
8	15094.279	JAAMOC010000582.1	NA					
8	16457.074	JAAMOC010000582.1	NA	Mettl13				
8	24176.464	JAAMOC010000582.1	NA					
9	731.603	CM022159.1	NA					
9	2038.77	CM022159.1	NA					
9	12539.472	CM022159.1	NA					
9	12968.64	CM022159.1	NA					
9	14121.447	CM022159.1	NA					
9	17288.184	CM022159.1	NA					
9	23503.079	CM022159.1	NA					
10	6112.317	CM022160.1	NA	Chd2_1				
10	12516.822	CM022160.1	NA					
10	14761.55	CM022160.1	NA					
10	19430.117	CM022160.1	NA	Bbs4				
10	19450.755	CM022160.1	NA					
10	19556.605	CM022160.1	NA	Parp6				
10	19569.34	CM022160.1	NA	Pkm				
10	19578.783	CM022160.1	NA	Pkm				
10	19776.731	CM022160.1	NA	Nr2e3				
10	19841.038	CM022160.1	NA	Cpeb1				
10	20079.582	CM022160.1	NA	Znf609				
10	20109.54	CM022160.1	NA					
10	20124.129	CM022160.1	NA					
10	20128.54	CM022160.1	NA					
10	20188.539	CM022160.1	NA	Duox2				
10	20192.605	CM022160.1	NA	Duox2				
10	20249.316	CM022160.1	NA	Sec11a				
10	20407.207	CM022160.1	NA	Shf				
11	898.591	CM022161.1	NA	Cmc2				
11	2165.363	CM022161.1	NA					
11	2439.834	CM022161.1	NA					
11	2449.623	CM022161.1	NA	Klhl36				
11	2519.117	CM022161.1	NA					
11	5189.706	CM022161.1	NA					
11	6125.086	CM022161.1	NA					
11	8283.169	CM022161.1	NA	Gna0				
11	8315.603	CM022161.1	NA					
11	9778.017	CM022161.1	NA					
11	11791.153	CM022161.1	NA					
11	11820.009	CM022161.1	NA					
11	12590.257	CM022161.1	NA					
11	12975.087	CM022161.1	NA					
11	13123.839	CM022161.1	NA					
11	13747.914	CM022161.1	NA	Mylk3				
11	15172.303	CM022161.1	NA					
11	15213.194	CM022161.1	NA					
11	17433.802	CM022161.1	NA					
11	18857.319	CM022161.1	NA	Gpi				
12	548.499	CM022162.1	NA	Phf2				
12	1398.432	CM022162.1	NA					
12	2583.57	CM022162.1	NA					
12	2664.201	CM022162.1	NA					
12	2983.338	CM022162.1	NA					
12	3462.095	CM022162.1	NA	Omd				
12	4468.288	CM022162.1	NA					
12	4478.088	CM022162.1	NA					
12	4657.667	CM022162.1	NA					
12	5585.14	CM022162.1	NA	Pbrm1				
12	8103.289	CM022162.1	NA					
12	8616.287	CM022162.1	NA					
12	9466.275	CM022162.1	NA					
12	11459.588	CM022162.1	NA					
12	11852.214	CM022162.1	NA					
12	14561.522	CM022162.1	NA					
12	14775.524	CM022162.1	NA					
12	15042.416	CM022162.1	NA					
12	15553.644	CM022162.1	NA					
12	18156.273	CM022162.1	NA					
12	18368.043	CM022162.1	NA					
12	20727.039	CM022162.1	NA	Nr2c2				
12	20819.954	CM022162.1	NA					
12	20933.939	CM022162.1	NA					
13	115.747	CM022163.1	NA	Ctbp2_1				
13	3335.771	CM022163.1	NA					
13	3763.965	CM022163.1	NA					
13	3892.547	CM022163.1	NA					
13	6627.905	CM022163.1	NA	Atox1				
13	8956.644	CM022163.1	NA					
13	10770.42	CM022163.1	NA					
13	14018.065	CM022163.1	NA					
14	4358.829	CM022164.1	NA					
14	8418.564	CM022164.1	NA					
14	10941.166	CM022164.1	NA	Cyp2k1_0				
14	12939.202	CM022164.1	NA	Ap5z1				
14	12980.351	CM022164.1	NA	Mmd2				
15	3805.368	JAAMOC010000539.1	NA	Tbx1b_0	Tbx1b_1			
15	6623.461	JAAMOC010000539.1	NA	Gcn1	Rplp0			
15	8157.286	JAAMOC010000539.1	NA	Chchd2_1				
15	8317.544	JAAMOC010000539.1	NA					
15	8389.838	JAAMOC010000539.1	NA					
15	8481.937	JAAMOC010000539.1	NA	Rfc5	Wsb2			
17	4078.028	CM022166.1	NA					
17	5643.602	CM022166.1	NA					
17	6332.219	CM022166.1	NA	Ntng2				
17	6655.966	CM022166.1	NA					
17	9542.75	CM022166.1	NA	Nek6				
17	9884.666	CM022166.1	NA					
18	7684.112	CM022167.1	NA					
18	9726.975	CM022167.1	NA					
18	10411.355	CM022167.1	NA					
18	10429.838	CM022167.1	NA					
18	10758.691	CM022167.1	NA					
18	11730.802	CM022167.1	NA					
19	1834.603	JAAMOC010000544.1	NA					
19	1931.475	JAAMOC010000544.1	NA					
19	1939.286	JAAMOC010000544.1	NA	Srsf1				
19	5985.484	JAAMOC010000544.1	NA	Lrrc75a				
20	183.389	JAAMOC010000554.1	NA	Prex1				
20	235.111	JAAMOC010000554.1	NA					
20	681.728	JAAMOC010000553.1	NA					
20	1113.121	JAAMOC010000553.1	NA	Myl9				
20	1443.821	JAAMOC010000553.1	NA					
20	9584.23	JAAMOC010000553.1	NA	Ntsr1				
20	11003.714	JAAMOC010000553.1	NA					
20	13901.038	JAAMOC010000553.1	NA					
20	13964.456	JAAMOC010000553.1	NA	Mocs3				
20	14089.919	JAAMOC010000553.1	NA	Ripor3				
21	379.718	JAAMOC010000055.1	NA	Eif4g3				
21	683.29	CM022168.1	NA					
21	2404.162	JAAMOC010000055.1	NA					
21	2531.272	JAAMOC010000055.1	NA					
22	1650.471	CM022169.1	NA					
23	431.26	JAAMOC010000558.1	NA					
24	1020.485	CM022170.1	NA					
24	1144.233	CM022170.1	NA					
24	1192.457	CM022170.1	NA					
24	1242.566	CM022170.1	NA					
24	3406.247	CM022170.1	NA	Scn4b				
24	3653.651	CM022170.1	NA					
24	4953.3	CM022170.1	NA					
24	5030.832	CM022170.1	NA					
24	5255.012	CM022170.1	NA	Kcnj1				
24	5298.776	CM022170.1	NA					
24	5386.092	CM022170.1	NA					
24	5434.484	CM022170.1	NA					
24	5464.572	CM022170.1	NA	Ets1				
24	5522.811	CM022170.1	NA					
24	5645.007	CM022170.1	NA					
24	6091.125	CM022170.1	NA					
24	6104.547	CM022170.1	NA	Dcps				
24	6120.706	CM022170.1	NA	Tirap				
24	6139.797	CM022170.1	NA	Srpra				
24	6170.727	CM022170.1	NA	Chek1				
25	146.891	CM022171.1	NA	S100a11				
26	152.482	JAAMOC010000092.1	NA					
26	166.266	JAAMOC010000092.1	NA					
26	4923.52	CM022172.1	NA	Mdfi				
26	4977.564	CM022172.1	NA					
27	548.002	JAAMOC010000563.1	NA					
27	639.83	JAAMOC010000563.1	NA					
27	2298.429	JAAMOC010000562.1	NA	Mylk_1				
27	2333.242	JAAMOC010000562.1	NA	Plcd3				
27	2384.531	JAAMOC010000562.1	NA					
27	2577.86	JAAMOC010000562.1	NA	Nsf				
27	3587.91	JAAMOC010000562.1	NA	Krt17				
27	3875.53	JAAMOC010000562.1	NA	Dhx58				
27	3964.643	JAAMOC010000562.1	NA	Stat3				
27	3975.552	JAAMOC010000562.1	NA					
28	170.365	CM022173.1	NA	Thop1				
CHR_UNK	0.245	JAAMOC010000356.1	NA	Znf574_1	Znf574_0			
CHR_UNK	1.115	JAAMOC010000213.1	NA					
CHR_UNK	4.82	JAAMOC010000700.1	NA					
CHR_UNK	6.408	JAAMOC010000413.1	NA					
CHR_UNK	30.336	JAAMOC010000503.1	NA					
CHR_UNK	32.588	JAAMOC010000332.1	NA					
CHR_UNK	38.074	JAAMOC010000225.1	NA					
CHR_UNK	40.486	JAAMOC010000225.1	NA	Atp5f1b				
CHR_UNK	80.357	JAAMOC010000225.1	NA	Rdh2				
LGE22	3.981	JAAMOC010000588.1	"0.622476,0.7378"					
Z	61.639	JAAMOC010000100.1	"56.842835,58.278656,58.306146,58.35983,58.359831,58.378116,58.378129,58.378331,58.378363,57.941386,58.1069,58.306056,58.306128,58.38016"					
Z	229.711	CM022174.1	NA					
Z	242.668	JAAMOC010000100.1	NA					
Z	1126.264	CM022174.1	NA					
Z	1636.163	CM022174.1	NA					
Z	2479.927	CM022174.1	NA					
Z	2559.538	CM022174.1	NA	Sncaip				
Z	3047.882	CM022174.1	NA					
Z	4626.93	CM022174.1	NA	Trim36				
Z	5049.233	CM022174.1	NA					
Z	5158.155	CM022174.1	NA					
Z	5616.433	CM022174.1	NA					
Z	6078.451	CM022174.1	NA					
Z	6923.167	CM022174.1	NA					
Z	7277.78	CM022174.1	NA					
Z	7499.723	CM022174.1	NA					
Z	7952.817	CM022174.1	NA					
Z	8180.465	CM022174.1	NA					
Z	9026.581	CM022174.1	NA					
Z	11938.513	CM022174.1	NA					
Z	12088.147	CM022174.1	NA					
Z	12382.243	CM022174.1	NA					
Z	12533.625	CM022174.1	NA					
Z	13634.225	CM022174.1	NA					
Z	14244.53	CM022174.1	NA					
Z	14658.884	CM022174.1	NA					
Z	15113.305	CM022174.1	NA					
Z	15627.54	CM022174.1	NA					
Z	16958.769	CM022174.1	NA					
Z	18382.805	CM022174.1	NA					
Z	18872.81	CM022174.1	NA	Qrich2_0				
Z	19339.831	CM022174.1	NA	Acr_3				
Z	19456.306	CM022174.1	NA					
Z	20062.247	CM022174.1	NA					
Z	20280.31	CM022174.1	NA	Dock8				
Z	20952.199	CM022174.1	NA					
Z	21226.138	CM022174.1	NA	Foxd1				
Z	21872.814	CM022174.1	NA					
Z	22995.808	CM022174.1	NA					
Z	24740.524	CM022174.1	NA					
Z	25255.046	CM022174.1	NA	Erbin				
Z	26027.709	CM022174.1	NA					
Z	26730.719	CM022174.1	NA					
Z	27936.264	CM022174.1	NA					
Z	29439.275	CM022174.1	NA					
Z	29671.922	CM022174.1	NA					
Z	30058.601	CM022174.1	NA					
Z	31598.588	CM022174.1	NA					
Z	32320.285	CM022174.1	NA					
Z	32408.026	CM022174.1	NA	Znf131				
Z	32713.042	CM022174.1	NA					
Z	32733.099	CM022174.1	NA					
Z	32751.256	CM022174.1	NA					
Z	33062.411	CM022174.1	NA					
Z	34095.26	CM022174.1	NA					
Z	34172.229	CM022174.1	NA					
Z	35013.7	CM022174.1	NA					
Z	36051.216	CM022174.1	NA					
Z	36356.301	CM022174.1	NA	Mtmr12				
Z	36556.392	CM022174.1	NA					
Z	36643.19	CM022174.1	NA					
Z	36871.535	CM022174.1	NA	Ca9				
Z	36912.358	CM022174.1	NA	Tln1				
Z	36925.507	CM022174.1	NA	Tln1				
Z	36932.679	CM022174.1	NA	Tln1				
Z	36968.345	CM022174.1	NA	Avd_1				
Z	36990.135	CM022174.1	NA	Gba2	Avd_2			
Z	36995.7	CM022174.1	NA	Gba2				
Z	37042.321	CM022174.1	NA	Npr2_0				
Z	37047.351	CM022174.1	NA	Hint2				
Z	37048.808	CM022174.1	NA	Taf1c	Hint2			
Z	37077.046	CM022174.1	NA					
Z	37177.087	CM022174.1	NA	Rusc2				
