MarMam observation ID num	MarMam individual ID num PK	Animal ID	Vernacular name	Date event observed	Date event observed confidence	Date event reported	Observation type	Gear type	Latitude 	Longitude 	Coordiante Capture method 	Location 	Area descriptor	NZ Regions	Physical population	General description of conditions	Description	Event remarks 	Platform	DOC response	Agency notified	DNA test results Haplotype	sex	Age class	Length cm	Suspected primary cause of death	Necropsy status	Necropsy results	Necropsy results details	Result confidence (for human-related cause of death only)
921	10		Hector's dolphin	13/03/56 0:00	Actual	1956-03-13	Historic mortality - type unknown	Unknown	-44.05206	171.81038	Estimated location	Ashburton River	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
922	11		Hector's dolphin	13/12/56 0:00	Actual	1956-12-13	Historic mortality - type unknown	Unknown	-41.73206	171.59894	Estimated location	Westport	CEP-Other (South Island)	West Coast	WCSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
923	12		Hector's dolphin	1/08/61 0:00	Actual	1961-08-01	Historic mortality - type unknown	Unknown	-43.33835	172.71164	Estimated location	"Woodend Beach, Canterbury"	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
924	13		Hector's dolphin	1/01/67 0:00	Actual	1967-01-01	Historic mortality - type unknown	Unknown	-40.86056	175.02422	Estimated location	Waikanae	CEP-New Plymouth South to Cape Terawhiti	Wellington	WCNI	Unknown	No details	"In DOC but not UoA db, should have DNA sample"	Platform not specified	Response not required	Unknown	N	Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
925	14		Hector's dolphin	1/09/68 0:00	Actual	1968-09-01	Historic mortality - type unknown	Unknown	-43.88701	173.00446	Estimated location	"SW Coast, Banks Peninsula"	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
926	15		Hector's dolphin	20/04/70 0:00	Actual	1970-04-20	Historic mortality - type unknown	Unknown	-43.8371	173.0969	Estimated location	Banks Peninsula	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
927	16		Hector's dolphin	15/08/70 0:00	Actual	1970-08-15	Harpooned	Other	-42.4312	173.7105	Estimated location	Kaikoura - 1/4 mile offshore Ingles bay on northern side of the peninsula	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Harpooned  in calm but dirty water, 2 males and 1 female"	"Note: Measurements as per 017A, 017B, 017C retrospectively, see cetacean data record for more detail "	Commercial fishing vessel	Response not required	Unknown		Male	Adult	153	Deliberate killing	Not applicable	Not applicable	Not applicable	Not applicable
927	17		Hector's dolphin	15/08/70 0:00	Actual	1970-08-15	Harpooned	Other	-42.4312	173.7105	Estimated location	Kaikoura - 1/4 mile offshore Ingles bay on northern side of the peninsula	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Harpooned  in calm but dirty water, 2 males and 1 female"	"Note: Measurements as per 017A, 017B, 017C retrospectively, see cetacean data record for more detail "	Commercial fishing vessel	Response not required	Unknown		Male	Adult	125	Deliberate killing	Not applicable	Not applicable	Not applicable	Not applicable
927	18		Hector's dolphin	15/08/70 0:00	Actual	1970-08-15	Harpooned	Other	-42.4312	173.7105	Estimated location	Kaikoura - 1/4 mile offshore Ingles bay on northern side of the peninsula	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Harpooned  in calm but dirty water, 2 males and 1 female"	"Note: Measurements as per 017A, 017B, 017C retrospectively, see cetacean data record for more detail "	Commercial fishing vessel	Response not required	Unknown		Male	Adult	134	Deliberate killing	Not applicable	Not applicable	Not applicable	Not applicable
930	19		Hector's dolphin	7/10/70 0:00	Actual	1970-10-07	Historic mortality - type unknown	Unknown	-41.4668	174.033	Estimated location	Cloudy Bay 	CEP-Other (South Island)	Marlborough	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
931	20		Hector's dolphin	20/10/70 0:00	Actual	1970-10-20	Historic mortality - type unknown	Unknown	-43.5235	172.7387	Estimated location	New Brighton	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
932	21		Hector's dolphin	1/12/70 0:00	Actual	1970-12-01	Historic mortality - type unknown	Unknown	-43.8371	173.0969	Estimated location	Banks Peninsula	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
933	22		Maui dolphin	1/01/73 0:00	Actual	1973-01-01	Historic mortality - type unknown	Unknown	-38.8932	174.517	Estimated location	Pukearuhe	CEP-Kawhia to Pariokariwa Point	Taranaki	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
934	23		Hector's dolphin	9/01/73 0:00	Actual	1973-01-09	Historic mortality - type unknown	Unknown	-43.8371	173.0969	Estimated location	Banks Peninsula	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
935	24		Hector's dolphin	14/01/73 0:00	Actual	1973-01-14	Entangled - caught in gear (dead)	Trawl net	-43.3691	172.7132	Estimated location	Pegasus Bay	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Trawled, no other details"	Baker (1978)	Commercial fishing vessel	Response not required	MPI		Unknown	Adult		Entanglement	Not applicable	Not applicable	Not applicable	Not applicable
935	25		Hector's dolphin	14/01/73 0:00	Actual	1973-01-14	Entangled - caught in gear (dead)	Trawl net	-43.3691	172.7132	Estimated location	Pegasus Bay	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Trawled, no other details"	Baker (1978)	Commercial fishing vessel	Response not required	MPI		Unknown	Adult		Entanglement	Not applicable	Not applicable	Not applicable	Not applicable
935	26		Hector's dolphin	14/01/73 0:00	Actual	1973-01-14	Entangled - caught in gear (dead)	Trawl net	-43.3691	172.7132	Estimated location	Pegasus Bay	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Trawled, no other details"	Baker (1978)	Commercial fishing vessel	Response not required	MPI		Unknown	Adult		Entanglement	Not applicable	Not applicable	Not applicable	Not applicable
938	27		Hector's dolphin	7/02/73 0:00	Actual	1973-02-07	Historic mortality - type unknown	Unknown	-43.5698	172.7765	Estimated location	Sumner Beach	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
939	28		Hector's dolphin	22/10/73 0:00	Actual	1973-10-22	Historic mortality - type unknown	Unknown	-46.1896	167.5952	Estimated location	Te Wae Wae Bay	CEP-Other (South Island)	Southland	SCSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
940	29		Hector's dolphin	10/02/74 0:00	Actual	1974-02-10	Entangled - caught in gear (dead)	Unknown set net	-39.5793	176.9338	Estimated location	"Clive, Hawke Bay"	CEP-Cape Terawhiti to Napier	Hawke's Bay	Other	Unknown	"Observers stranding diary: ""Caught in set net at Clive, male Hectors dolphin 4 foot in length, weight 73lbs.  Condition very good.  One of herd of 11 in the vicinity for past 6 weeks.  Large flukes and deep groove.  Rounded flippers and dorsal…gill net be____"	"Skeleton may still be with observers family, or at Amsterdam Museum"	Commercial fishing vessel	Response not required	Unknown		Male	Adult		Entanglement	Not applicable	Not applicable	Not applicable	Not applicable
941	30		Hector's dolphin	28/06/74 0:00	Actual	1974-06-28	Historic mortality - type unknown	Unknown	-42.7162	170.9601	Estimated location	"Three Mile Beach, Hokitika"	CEP-Other (South Island)	West Coast	WCSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown			Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
941	31		Hector's dolphin	28/06/74 0:00	Actual	1974-06-28	Historic mortality - type unknown	Unknown	-42.7162	170.9601	Estimated location	"Three Mile Beach, Hokitika"	CEP-Other (South Island)	West Coast	WCSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown			Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
941	32		Hector's dolphin	28/06/74 0:00	Actual	1974-06-28	Historic mortality - type unknown	Unknown	-42.7162	170.9601	Estimated location	"Three Mile Beach, Hokitika"	CEP-Other (South Island)	West Coast	WCSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown			Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
944	33		Maui dolphin	28/08/74 0:00	Actual	1974-08-28	Historic mortality - type unknown	Unknown	-39.1133	173.9506	Estimated location	"Oakura Bay, New Plymouth"	CEP-New Plymouth South to Cape Terawhiti	Taranaki	WCNI	Unknown	No details	"In DOC but not UoA db, should have DNA sample"	Platform not specified	Response not required	Unknown	G	Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
945	34		Hector's dolphin	14/01/75 0:00	Actual	1975-01-14	Historic mortality - type unknown	Unknown	-41.5106	171.9439	Estimated location	"Waimarie, Mohikinui, Karamea"	CEP-Other (South Island)	West Coast	WCSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
946	35		Maui dolphin	24/08/75 0:00	Actual	1975-08-24	Historic mortality - type unknown	Unknown	-39.1133	173.9506	Estimated location	"Oakura Bay, New Plymouth"	CEP-New Plymouth South to Cape Terawhiti	Taranaki	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
947	36		Hector's dolphin	14/12/76 0:00	Actual	1976-12-14	Historic mortality - type unknown	Unknown	-43.8371	173.0969	Estimated location	Banks Peninsula	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
948	37		Hector's dolphin	4/01/77 0:00	Actual	1977-01-04	Entangled - caught in gear (dead)	Trawl net	-43.3691	172.7132	Estimated location	Pegasus Bay	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Caught in trawl, no other details"	Baker (1978)	Commercial fishing vessel	Response not required	MPI		Unknown	Adult		Entanglement	Not applicable	Not applicable	Not applicable	Not applicable
948	38		Hector's dolphin	4/01/77 0:00	Actual	1977-01-04	Entangled - caught in gear (dead)	Trawl net	-43.3691	172.7132	Estimated location	Pegasus Bay	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Caught in trawl, no other details"	Baker (1978)	Commercial fishing vessel	Response not required	MPI		Unknown	Adult		Entanglement	Not applicable	Not applicable	Not applicable	Not applicable
948	39		Hector's dolphin	4/01/77 0:00	Actual	1977-01-04	Entangled - caught in gear (dead)	Trawl net	-43.3691	172.7132	Estimated location	Pegasus Bay	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Caught in trawl, no other details"	Baker (1978)	Commercial fishing vessel	Response not required	MPI		Unknown	Adult		Entanglement	Not applicable	Not applicable	Not applicable	Not applicable
948	40		Hector's dolphin	4/01/77 0:00	Actual	1977-01-04	Entangled - caught in gear (dead)	Trawl net	-43.3691	172.7132	Estimated location	Pegasus Bay	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Caught in trawl, no other details"	Baker (1978)	Commercial fishing vessel	Response not required	MPI		Unknown	Adult		Entanglement	Not applicable	Not applicable	Not applicable	Not applicable
952	41		Hector's dolphin	17/01/78 0:00	Actual	1978-01-17	Entangled - caught in gear (dead)	Commercial set net	-41.2283	174.8749	Estimated location	Petone Beach	CEP-Cape Terawhiti to Napier	Wellington	WCNI	Unknown	"monz database: ""Good condition.  Accidentally gillneted by commercial fisherman""."	Not required	Commercial fishing vessel	Basic data record	Unknown		Male	Adult	124	Entanglement	Not applicable	Not applicable	Not applicable	Not applicable
953	42		Maui dolphin	1/06/78 0:00	Actual	1978-06-01	Historic mortality - type unknown	Unknown	-36.9869	174.4701	Estimated location	"Karekare Beach, Nth Auckland"	CEP-Kaipara South to Manukau	Auckland	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
954	43		Hector's dolphin	27/10/78 0:00	Actual	1978-10-27	Historic mortality - type unknown	Unknown	-43.901	172.213	Estimated location	Rakaia River Mouth	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
955	44		Maui dolphin	26/01/79 0:00	Actual	1979-01-26	Historic mortality - type unknown	Unknown	-38.93136	174.46014	Estimated location	Waiiti Beach	CEP-Pariokariwa Point to New Plymouth	Taranaki	WCNI	Unknown	No details	from UoA. dried skin and teeth from taranaki museum A78.570 TL = 1.595m	Platform not specified	Response not required	Unknown	G	Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
956	45		Maui dolphin	5/02/79 0:00	Actual	1979-02-05	Historic mortality - type unknown	Unknown	-38.8151	174.5837	Estimated location	"Tongaporutu River, Taranaki"	CEP-Kawhia to Pariokariwa Point	Taranaki	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
957	46		Hector's dolphin	16/02/79 0:00	Actual	1979-02-16	Historic mortality - type unknown	Unknown	-44.3977	171.263	Estimated location	Timaru	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
958	47		Hector's dolphin	9/03/79 0:00	Actual	1979-03-09	Historic mortality - type unknown	Unknown	-46.2798	167.7294	Estimated location	"Orepuki, Te Waewae"	CEP-Other (South Island)	Southland	SCSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
959	48		Maui dolphin	11/03/79 0:00	Actual	1979-03-11	Historic mortality - type unknown	Unknown	-38.7066	174.6138	Estimated location	Mokau River Mouth	CEP-Kawhia to Pariokariwa Point	Taranaki	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
960	49		Maui dolphin	17/04/79 0:00	Actual	1979-04-17	Historic mortality - type unknown	Unknown	-38.9911	174.3597	Estimated location	"Onareo Beach, New Plymouth"	CEP-Pariokariwa Point to New Plymouth	Taranaki	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
961	50		Hector's dolphin	17/12/79 0:00	Actual	1979-12-17	Beachcast (dead on shore)	Not Applicable	-46.3689	167.826	Estimated location	Wakaputa Beach	CEP-Other (South Island)	Southland	SCSI	Unknown	"monz database: DEAD FOR ATLEAST 48HRS, ALTHOUGH IT HAD NOT BEEN ON THE BEACH FOR LONGERTHAN 24HRS, AS INDICATED BY THE LACK OF BIRD MOLESTATION AND MAGGOT SIZEA LARGE GASH,APPROX 50CM LONG RAN ACROSS ITS RIGHT FLANK"	Not required	Land	Response not required	Unknown		Male	Adult	137	Unknown	Not applicable	Not applicable	Not applicable	Not applicable
962	51		Hector's dolphin	18/12/79 0:00	Actual	1979-12-18	Historic mortality - type unknown	Unknown	-43.5214	172.7375	Estimated location	South New Brighton	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
963	52		Hector's dolphin	16/01/80 0:00	Actual	1980-01-16	Historic mortality - type unknown	Unknown	-43.5421	172.7193	Estimated location	Avon/Heathcote Estuary	CEP-Other (South Island)	Canterbury	ECSI	Unknown	monz database: 'NO SIGN OF CAUSE OF DEATH	Not required	Platform not specified	Response not required	Unknown		Female	Adult	107	Unknown	Not applicable	Not applicable	Not applicable	Not applicable
964	53		Hector's dolphin	17/01/80 0:00	Actual	1980-01-17	Historic mortality - type unknown	Unknown	-41.3251	174.107	Estimated location	"Kakapo Bay, Port Underwood"	CEP-Other (South Island)	Marlborough	ECSI	Unknown	No details	from UoA: poor quality dried soft tissue TL = 132cm alternate code = Monz 1913	Platform not specified	Response not required	Unknown	Pending	Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
965	54		Hector's dolphin	28/10/80 0:00	Actual	1980-10-28	Beachcast (dead on shore)	Unknown	-36.8364	175.0673	Estimated location	"Onetangi Beach, Waiheke island"	CEP-Other (North Island)	Auckland	Other	Unknown	"monz database: 'DOLPHIN PROBABLY NETTED, GAFFED AND KILLED AND FINS REMOVED TO FACILITATE REMOVAL FROM NET . THIS OCCURRRED ON LABOUR DAY AS PREVIOUS HIGH WATER WAS 2300 72/10/80"	Not required	Land	Unknown	Unknown		Female	Adult	152	Entanglement	Not applicable	Not applicable	Not applicable	Unknown
966	55		Maui dolphin	6/12/80 0:00	Actual	1980-12-06	Historic mortality - type unknown	Unknown	-36.0822	173.8573	Estimated location	"Glinks Gully, Dargaville Beach"	CEP-Maunganui Bluff to North Kaipara	Northland	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
967	56		Maui dolphin	28/05/81 0:00	Actual	1981-05-28	Historic mortality - type unknown	Unknown	-34.6579	172.8653	Estimated location	Ninety Mile Beach	CEP-Other (North Island)	Northland	WCNI	Unknown	No details	Not required	Platform not specified	Basic data record	Unknown		Male	Adult	140	Unknown	Not applicable	Not applicable	Not applicable	Not applicable
968	57		Maui dolphin	18/01/82 0:00	Actual	1982-01-18	Historic mortality - type unknown	Unknown	-37.8062	174.8657	Estimated location	South Raglan	CEP-Raglan Harbour and Surrounds	Waikato	WCNI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
969	58		Hector's dolphin	3/05/82 0:00	Actual	1982-05-03	Historic mortality - type unknown	Unknown	-43.5235	172.7387	Estimated location	New Brighton	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
970	59		Hector's dolphin	7/12/84 0:00	Actual	1984-12-07	Entangled - caught in gear (dead)	Commercial set net	-42.82	173.35833	GPS - Subject location	"Shag Rock, north of Gore Bay"	CEP-Other (South Island)	Canterbury	ECSI	Unknown	Reported by the Commercial Set Netter Involved 	MONZ number 2032	Commercial fishing vessel	Post mortem	Unknown		Female	Juvenile	84	Sent for necropsy	Complete	Entanglement		Known
971	60		Hector's dolphin	12/12/84 0:00	Actual	1984-12-12	Beachcast (dead on shore)	Unknown	-41.8445	174.1855	Estimated location	Between Cape Campbell and Ward beach.	CEP-Other (South Island)	Marlborough	ECSI	Unknown	Unknown-probable incidental catch in set net. Rotten	Not required	Land	Post mortem	Unknown		Male	Adult	96	Sent for necropsy	Complete	Entanglement		Probable
972	61		Hector's dolphin	11/01/85 0:00	Actual	1985-01-11	Entangled - caught in gear (dead)	Recreational set net	-43.8133	172.955	GPS - Observer location	100m off Akaroa Lighthouse (inside harbour) inside Green Point.	CEP-Other (South Island)	Canterbury	ECSI	Unknown	monz comments: 'IMMATURE FEMALE IN GOOD HEALTH. CAUGHT IN AMATEUR SET NET.'SKELETON AND SAMPLES OF VARIOUS ORGANS RETAINED FOR ANALYSIS. 100 m of Akaroa Lighthouse inside Green Point	monz number 2031	Non-motorised coastal activity	Response not required	Unknown		Female	Adult	134	Sent for necropsy	Complete	Entanglement		Known
973	62		Hector's dolphin	18/02/85 0:00	Actual	1985-02-18	Entangled - caught in gear (dead)	Recreational set net	-43.5834	172.9407	Estimated location	3 miles off Pigeon Bay	CEP-Other (South Island)	Canterbury	ECSI	Unknown	Amateur Set Netter (No other details available)	note: v similar to ss 69/70.  Data double-up?? historical ID 55 and 56	Platform not specified	Post mortem	Unknown			Adult	113	Sent for necropsy	Complete	Entanglement		Known
973	63		Hector's dolphin	18/02/85 0:00	Actual	1985-02-18	Entangled - caught in gear (dead)	Recreational set net	-43.5834	172.9407	Estimated location	3 miles off Pigeon Bay	CEP-Other (South Island)	Canterbury	ECSI	Unknown	Amateur Set Netter (No other details available)	note: v similar to ss 69/70.  Data double-up?? historical ID 55 and 56	Platform not specified	Post mortem	Unknown			Adult	111	Sent for necropsy	Complete	Entanglement		Known
975	64		Maui dolphin	23/02/85 0:00	Actual	1985-02-23	Beachcast (dead on shore)	Not Applicable	-36.998	174.7427	Estimated location	"Kakamatua Stream (Eastern side of creek), Manakau Harbour."	CEP-Manukau Harbour	Auckland	WCNI	Unknown	"monz database: 'REPORTED ASHORE DEAD, mid tide on eastern side of creek"	Not required	Land	Response not required	Unknown		Female	Adult	190	Unknown	Not applicable	Not applicable	Not applicable	Not applicable
976	65		Hector's dolphin	18/04/85 0:00	Actual	1985-04-18	Historic mortality - type unknown	Unknown	-43.3691	172.7132	Estimated location	Pegasus Bay	CEP-Other (South Island)	Canterbury	ECSI	Unknown	No details	Not required	Platform not specified	Response not required	Unknown		Unknown	Adult		Unknown	Not applicable	Not applicable	Not applicable	Not applicable
977	66		Hector's dolphin	21/04/85 0:00	Actual	1985-04-21	Entangled - caught in gear (dead)	Commercial set net	-43.7272	173.131	Estimated location	"1 nm off middle of Le Bons Bay, Banks Peninsula"	CEP-Other (South Island)	Canterbury	ECSI	Unknown	"Reported by the Commercial Set Netter Involved. Le Bons Bay, Middle of bay, 1 mile offshore. ~9 fathoms deep, Cuts that look to be caused by a net on mouth, dorsal fin, flippers, tailstock and tail"	from UoA: in gillnet  alternate code = CETOS 8506	Commercial fishing vessel	Post mortem	Unknown	A	Female	Adult	99	Sent for necropsy	Complete	Entanglement		Known
978	67		Hector's dolphin	22/04/85 0:00	Estimated	1985-04-22	Beachcast (dead on shore)	Not Applicable	-46.1896	167.5952	Estimated location	Te Wae Wae Bay	CEP-Other (South Island)	Southland	SCSI	Unknown	"Recovered from taxidermists freezer, cause of death unknown (Exact day is not certain). Very young female"	monz number 2014	Land	Post mortem	Unknown		Female	Juvenile	76.6	Sent for necropsy	Complete	Indeterminable		Not applicable
979	68		Hector's dolphin	22/07/85 0:00	Actual	1985-07-22	Beachcast (dead on shore)	Unknown	-45.0885	170.9835	Estimated location	"All Day Bay, Oamaru"	CEP-Other (South Island)	Otago	ECSI	Unknown	Beachcast.   Possible set net marks on tail flukes.was found beachcast on the 22/7/85 and buried above the high tide mark. Was exhumed on the 30/7/85 and frozen.	"MONZ 2018, from UoA:Tl = 130cm teeth samples alternate code = CETOS 8610"	Land	Post mortem	Unknown	Pending	Female	Adult	144.2	Sent for necropsy	Complete	Entanglement		Possible
