Standardized_UoA_code	UoA_sample_code	Animal_ID	Common_name	Species_subspecies	Date_event_reported	Latitude	Longitude	Specific_geographic_location	Broad_geographic_location	Physical_population	Age_class	Sex	Length_cm	mtDNA_haplotype	Sampling_event	Fisheries_gear_type	Description_of_collection_event	Additional_remarks	Necropsy_results	Necropsy_results_details	Path_No.	COD_category	Detailed_cause_of_death	Death_by_pathogen	Cause_of_death_notes	Reconciliation_notes
CHE10NZ01	Che10NZ01 (H196/10; U10-013)	H196	Hector's dolphin	Cephalorhynchus hectori hectori	28-Feb-2010	-42.45854	171.20481	Greymouth Beach, off Miro St	Greymouth	WCSI	A	F	137	Jb	Beachcast (dead on shore)	Unknown	Dolphin found cast on beach. Expect only been there for short period of time. Had cut on tail fluke that looks like cut from knife (cut out of net?) and marks on skin consistent with net entangle. Packed fresh to massey uni (Wendy Roe) taken via ute to Ch____	Not required	Entanglement	DIAGNOSIS: By-catch (Drowning - Saltwater). This animal appeared to be a healthy adult female in good body condition. The linear marks around the snout are consistent with net entanglement; there were no signs of disease. Part of the left portion of the fluke had been removed cleanly, after the animal had died, most probably with a large, sharp knife.	44666	Prob bycatch	probable bycatch	n	NA	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead
CHE10NZ03	Che10NZ03 (H199/10; U10-102)	H199	Hector's dolphin	Cephalorhynchus hectori hectori	27-Sep-2010	-42.819786	170.871498	1km south of Ruatapu, near Hokitika	Hokitika	WCSI	A	F	138	Cb1	Beachcast (dead on shore)	Not Applicable	Dolphin was brought in to DOC office by XXX, who had found it on the beach south of Ruatapu. Dolphin was very freshly dead, with no obvious cause of death. A very light mark around part of the neck/throat (photo #1267) could have been either net/rope (app____	Not required	Indeterminable	DIAGNOSIS: Unknown Cause of Death. This was a heavily pregnant, seemingly healthy female. She was in good body condition, with no obvious gross signs of underlying disease. The uterus had ruptured, but this was most likely after the animal died. The gritty sand within the abdomen, uterus and cervix is likely the result of sand making its way through the genital slit after the animal had washed around the surf and onto the beach.	45552	Disease	brucellosis	y	NA	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;DOC_Massey had 'D. Neale' for 'Collected_By' and 'West Coast' for 'DoC_Agency'
CHE10NZ07	Che10NZ07 (H195/10; U10-182)	H195	Hector's dolphin	Cephalorhynchus hectori hectori	12-May-2010	NA	NA	Timaru	Timaru	ECSI	S	M	NA	Cb1	Beachcast (dead on shore)	NA	NA	NA	NA	NA	44862	Known bycatch	known bycatch	n	NA	NA
CHE10NZ08	Che10NZ08 (H197/10; U10-183)	H197	Hector's dolphin	Cephalorhynchus hectori hectori	16-Aug-2010	-41.984247	174.026733	3km N of Kekerengu, Canterbury	Canterbury	ECSI	J	M	115.5	Cb1	Beachcast (dead on shore)	Not Applicable	Beach cast. Had been dead for 2-3 days. Long pea shingle beach. Hectors known to be in the area. No obvious damage. Found by person riding 4x4 bike. Been very rough sea conditions for last week with big breaking surf.	Not required	Natural Causes - general	DIAGNOSIS: Starvation/Mild Trauma. This dolphin was in poor body condition, there’s no obvious cause for the emaciation; there were no obvious signs of a chronic disease process that would explain it. There is possible trauma to the right side of the lower jaw, but this would not have killed the animal. Combined with the observation that stones and pebbles were found in the mouth and stomach, could indicate the animal was washed ashore while still alive, but probably in a very weakened state	45290	Disease	unknown	unknown	NA	NZCETA_DOC_pathology had 16-Mar-2010 for the collection date
CHE10NZ09	Che10NZ09 (H198/10; U10-184)	H198	Hector's dolphin	Cephalorhynchus hectori hectori	03-Oct-2010	-43.266443	172.729738	Beach between Ashley River mouth and Ashworth Lagoon, north of Christchurch, Pegasus Bay	Pegasus Bay	ECSI	A	F	135.5	Ca	Beachcast (dead on shore)	Not Applicable	The dolphin was found by a member of the public on a beach at the lowtide mark and was subsequently pulled to the high tide mark and DoC was called. It was a sunny calm day, with little to no swell, sandy beach, no rocks. New tests in 2011 confirmed toxoplasmosis in this dolphin.	Not required	Natural causes - disease	1. Disseminated toxoplasmosis. 2. Fungal tracheitis/bronchitis. Further histology, immunohistochemistry and PCR confirmed toxoplasmosis as the cause of death of this dolphin.	45494	Disease	toxoplasma	y	NA	NA
CHE10NZ11	Che10NZ11 (H203/10; U10-186)	H203	Hector's dolphin	Cephalorhynchus hectori hectori	08-Dec-2010	-43.29096	172.720917	Waikuku Beach, Canterbury, Pegasus Bay	Pegasus Bay	ECSI	J	M	71	Ca	Beachcast (dead on shore)	Not Applicable	Was found washed up on the beach. No obvious injuries or cause of death.	Not required	Natural causes- maternal separation	DIAGNOSIS: Possible maternal separation. The significance of the nodules on the heart is unknown, but histological examination may help to determine whether there is any underlying condition that is responsible for this calf's death.	45752	Maternal sep	maternal separation	n	NA	NA
CHE11NZ01	Che11NZ01 (H204/11; U11-015)	H204	Hector's dolphin	Cephalorhynchus hectori hectori	24-Jan-2011	-46.37101	169.783306	Kaka Point, Otago	Otago	ECSI	J	F	81	Z	Beachcast (dead on shore)	Not Applicable	Beachcast calf after heavy seas	Not required	Natural causes- maternal separation	Probable maternal separation. No indication that this calf had any infectious disease or traumatic cause of death. The poor body condition and empty stomach, in conjunction with the presence of meconium (foetal faeces) in the large intestine indicates that the calf was separated from its mother (possibly during a storm) early after birth. Death would have been due to a combination of starvation, and hypothermia (lack of food impairs the ability to maintain body heat).	45872	Maternal sep	maternal separation	n	NA	NA
CHE11NZ03	Che11NZ03 (H207/11; U11-017)	H207	Hector's dolphin	Cephalorhynchus hectori hectori	09-Mar-2011	-43.626153	172.654109	SE Governors Bay, Lyttelton Harbour head, Banks Peninsula	Lyttelton	ECSI	A	F	141.5	W	Beachcast (dead on shore)	Not Applicable	Found by member of the public beachcast and floating in water	Not required	Indeterminable	Diagnosis: Open. The appearance of the lungs suggests that this dolphin may have had toxoplasmosis, but histology is required to confirm this. There was no indication of death being due to bycatch.	46037	Disease	unknown; renal and lung lesions	unknown	NA	NA
CHE11NZ04	Che11NZ04 (H208/11; U11-018)	H208	Hector's dolphin	Cephalorhynchus hectori hectori	17-Apr-2011	-43.61963	172.65672	Sandy Beach, Governors Bay, Lyttelton Harbour, Banks Peninsula	Lyttelton	ECSI	J	M	94	P	Beachcast (dead on shore)	Not Applicable	Beachcast Hectors calf. Possible boat damage on body?	Gross Pathology: This neonatal male calf was in good post mortem condition, with minimal skin sloughing but moderate scavenging of skin around the eyes and some tissue loss around the lower jaws. Maxillary and mandibular teeth were erupted, there were no foetal folds and no foetal whiskers. The calf was in poor body condition, with a prominent 'neck', easily palpable spinous processes, a low blubber depth and very poor muscle condition. There were multiple deep rake marks on both sides, as well as two lacerations, one on each flank. These lacerations affected the full thickness of skin, and surrounding skin was under-run. There was no evidence of bruising of either blubber or muscle, suggesting that this damage occurred after death. There were multiple 2-4mm diameter ulcers within the oesophageal mucosa and squamous portion of the stomach. The stomach contained only a scant amount of cloudy pink/cream fluid, and the intestines were empty. The lungs were well inflated, with a very small amount of foam adherent to the tracheal mucosa	Natural causes- maternal separation	DIAGNOSIS: Probable starvation due to maternal separation. Tissue samples have been collected to evaluate for underlying disease, and to more accurately determine if the lacerations on the flanks were caused before or after death. Even if these wounds were inflicted before death, they were mild and would not have been sufficient to cause death. The very poor body condition and lack of ingesta and intestinal contents suggest that this young calf has not been fed for at least several days.	46194	Maternal sep	maternal separation	n	NA	NA
CHE11NZ05	Che11NZ05 (H210/11; U11-050)	H210	Hector's dolphin	Cephalorhynchus hectori hectori	17-Oct-2011	-46.32897	169.844177	Matau Branch, Clutha River mouth, Otago	Otago	ECSI	A	F	134	Z	Beachcast (dead on shore)	Not Applicable	XXX found carcass while whitebaiting on the evening of 17/10/2011 - another white baiter informed him that it had come ashore that morning and was bleeding from the mouth at that stage. Note bruising on right lower jaw	Not required	Natural causes - disease	1.Disseminated toxoplasmosis. 2. Blunt head trauma. The damage to the lungs and liver, most likely caused by toxoplasma infection, was severe enough to have caused death. The trauma to the head was recent, and could have been sustained close to the time of death, possibly as a result of weakness and inco-ordination. Microscopic examination did not show any evidence of brain damage, so the trauma is unlikely to have been the sole cause of death.	46864	Disease	toxoplasma	y	NA	NA
CHE11NZ06	Che11NZ06 (H211/11; U11-051)	H211	Hector's dolphin	Cephalorhynchus hectori hectori	26-Oct-2011	-37.10737	174.76302	South side of Manukau Harbour at Seagrove, near Clarks Beach, Auckland	Auckland	WCNI	A	F	134.5	Cb1	Beachcast (dead on shore)	Not Applicable	Reported and recovered at low tide from highwater mark in Manukau harbour. Laying on mixture of sand and shells. Animal photographed in situ and recovered at 8pm 27/10/11. Taken to chiller at Massey Albany, sent via air cargo to Massey Palmerston for necr____	DNA results = not G therefore Hector's dolphin	Indeterminable	No specific cause of death is evident on gross examination. While there are no indicators of drowning/bycatch, this can be impossible to determine in an autolysed carcass. The laceration in the midline of the animal could have been human-inflicted, but it is not possible to determine this for sure. Tissues will be processed for histological examination which may clarify the cause of death, although again autolysis often prevents accurate interpretation of microscopic changes in tissues.	NA	NA	NA	NA	NA	Down as Hector's dolphin, but apparently sampled within range of Maui dolphin;Age_class based on DOC: NZCETA and Massey had NA;NZCETA_DOC_pathology and Date event observed both had 2011, Date event reported had 2012
CHEM07NZ01	Chem07NZ01 (H153/07; U07-113)	H153	Maui dolphin	Cephalorhynchus hectori maui	10-Nov-2007	-37.823	174.8193	480 metres east of Manu Bay boat ramp, Raglan	Waikato	WCNI	A	F	153	G	Beachcast (dead on shore)	Not Applicable	Found East of Manu Bay boat ramp, Raglan, no visible indication as to cause of death. New tests conducted in 2011 confirmed toxoplasmosis in this dolphin.	Wallaceville completed Brucella species PCR. Subspecies confirmed as Maui's dolphin through DNA analysis.  mtDNA haplotype G. Mircosatellites analysed; from UoA: T.L. = 158cm H153/07 DoC code	Natural causes - disease	Diagnosis: disseminated toxoplasmosis. Originally noted as too autolysed for definitive diagnosis of cause of death, but in 2011 the development of ancillary tests (immunohistochemistry (IHC) and polymerase chain reaction (PCR)) that were able to confirm toxoplasmosis. Testing for Brucella was negative.	41043	Disease	toxoplasma	y	NA	NA
CHEM10NZ06	Chem10NZ06 (H202/10; U10-169)	H202	Maui dolphin	Cephalorhynchus hectori maui	20-Nov-2010	-37.821306	174.79175	Raglan, floating ~500m off Indicators Point	Waikato	WCNI	S	M	125	G	Dead sighting at sea	Not Applicable	Dolphin found floating upside down (dead) approx. 500m off Indicators point, Raglan at 4:00pm, 20/11/2010 by surfers in boats. Took dolphin in tow (rope around tail) to Manu Bay ramp. Contacted DOC Hotline. New tests in 2011 confirmed toxoplasmosis in this dolphin.	Subspecies confirmed as Maui's dolphin through DNA analysis. mtDNA haplotype G. Mircosatellites analysed	Natural causes - disease	"Diagnosis: Disseminated toxoplasmosis. The original diagnosis on this animal was "open" as no clear cause of death could be established at gross post mortem. In 2011 we developed new tests for toxoplasmosis and ran these tests with archived tissues. Histology, immunohistochemistry and PCR confirmed toxoplasmosis as the cause of death in this dolphin."	45670	Disease	toxoplasma	y	NA	NA
CHEM13NZ01	Chem13NZ01 (H243/13; U13-046)	H243	Maui dolphin	Cephalorhynchus hectori maui	13-Sep-2013	-36.175093	173.93369	Ripiro Beach, south of Glinks Gully, Dargaville, Northland	Northland	WCNI	A	F	151	NA	Beachcast (dead on shore)	Not Applicable	"Found at high tide mark on Ripiro Beach, Dargaville area. Recovered, chilled and air-freighted to Massey for
necropsy. Possible marks of net, injured eye (possible by bird), animal was located at high tide mark"	Recovered once able to access at outgoing tide. DNA results = G therefore Hector's dolphin	Natural Causes - general	Emaciation, severe parasitism (liver and intestinal tract). Histology confirms that this was an older female dolphin with severe parasitism of the liver and moderate parasitism of the gastrointestinal tract. Toxoplasmosis has been ruled out. Although it is impossible to definitively exclude entanglement, there was no convincing evidence that this dolphin had been caught in a net.	50066	Misc	emaciation/parastism/age	unknown	NA	NZCETA made this observation of Sex 'Unknown';Only row with entry in the 'Pregnant?' column: 'not pregnant (evidence of previous pregnancies)'. This column has now been deleted
CHENI092	NA	H070	Maui dolphin	Cephalorhynchus hectori maui	04-Jun-2003	-36.8848	174.4376	O'Neils Beach, north of Bethell's Beach	Auckland	WCNI	S	M	134	G	Beachcast (dead on shore)	Not Applicable	Recovered by helicopter. No fishing gear found near site	Subspecies confirmed as Maui's dolphin through DNA analysis. mtDNA haplotype G. Mircosatellites analysed, not in UoA spreadsheet, From Becca - sampled alive in 2001 (NI47) and dead in 2003 (NI92)	Natural Causes - general	NA	34780	NA	NA	NA	NA	Subspecies designation based on location;Age_class based on NZCETA: Massey had NA, and DOC had 'Juvenile'
U13-033	U13-033 (H241-13)	H241	Hector's dolphin	Cephalorhynchus hectori hectori	30-May-2013	-44.402809	171.262275	South Bay, Timaru	Timaru	ECSI	A	M	128.5	NA	Beachcast (dead on shore)	Not Applicable	Talked to XXX (Massey Uni). Photos and kmeasurements will be available from them. No specific comments on specimen	Not required	Natural causes - disease	associated with upper or lower urinary tract disease. Large number of cestodes and lungworms.	49657	Disease	renal disease/parasitism	unknown	NA	Subspecies designation based on location
NA	NA	H217	Hector's dolphin	Cephalorhynchus hectori hectori	23-Mar-2012	-42.720396	170.95184	Hokitika Rivermouth, Hokitika	Hokitika	WCSI	A	F	134	NA	Beachcast (dead on shore)	Not Applicable	Dolphin was reported beachcast dead at Hokitika Rivermouth, and collected by XXX and XXX. No evidence of cause of death at the scene or on the dolphin's body. No net marks evident. Air frieghted unfrozen via Air NZ to Massey for necropsy	Not required	Natural Causes - general	Diagnosis: Internal haemorrhage. Extensive haemorrhage can be due to widespread damage to blood vessels or abnormal blood clotting. No indication of blunt trauma, and histology didn’t show systemic infection. Pattern of bleeding isn't consistent with seismic/sonar related injuries so that is not likely. Kidney failure can impair blood clotting and cause bleeding; this dolphin did have kidney lesions, but it isn't possible to definitively diagnose blood clotting abnormalities in dead animals.	47298	Misc	internal haemorrhage	n	NA	NA
NA	NA	H218	Hector's dolphin	Cephalorhynchus hectori hectori	27-Mar-2012	-46.330247	169.839513	Coal Point, Kaitangata, Otago	Otago	ECSI	J	F	80	NA	Beachcast (dead on shore)	Not Applicable	Animal found at Matau Branch, Clutha River mouth	Not required	Natural causes- maternal separation	Diagnosis: probably maternal separation. Based on the well-aerated lungs, the absence of fetal whiskers and the absence of meconium in the intestinal tract, this neonate was at least a few days old. As there was no milk in her stomach, and no evidence of infectious disease or trauma, maternal separation with consequent hypoglycaemia/hypothermia is the most likely cause of death.	47323	Maternal sep	maternal separation	n	NA	Date event observed was 26/03/12 0:00
NA	NA	H225	Hector's dolphin	Cephalorhynchus hectori hectori	24-Aug-2012	-40.55314	172.71315	Between Taupata and Billy King Creek, Golden Bay	Golden Bay	NCSI	A	F	141	NA	Beachcast (dead on shore)	Not Applicable	A combination of things with this one I think, and no indication that she was bycaught	Not required	Natural causes - disease	Seemed to be quite old. She had several chronic disease conditions that may have contributed to her poor body condition: a fairly severe parasitic infection of the gastrointestinal tract and evidence of poor kidney function. changes in liver are likely due to chronic blood loss, maybe from the stomach ulcers. Hard to work out how relevant the bruising on the head was, appeared to be recent, may have occurred very close to death, but whether it contributed to death is impossible to determine.	48721	Disease	chronic parasitism + renal disease	unknown	NA	NA
NA	NA	H228	Hector's dolphin	Cephalorhynchus hectori hectori	03-Dec-2012	-44.216667	171.683333	Approx. 15 km offshore and 50 km North-East of Timaru.	Timaru	ECSI	S	F	142	NA	Entangled - caught in gear (dead)	Commercial set net	Unknown	Reported through observer programme.	Entanglement	The circumstances of death in combination with the presence of net marks and the absence of any other cause of death is convincing evidence of death due to entanglement in a fishing net (bycatch). Tissues will be processed for histology as part of routine procedure, and an amended report will be sent out if there are any additional significant findings.	49053	Known bycatch	known bycatch	n	NA	Age_class based on Massey: NZCETA had NA, DOC had 'Adult'
NA	NA	H231	Hector's dolphin	Cephalorhynchus hectori hectori	16-Dec-2012	-45.72248	170.601711	Warrington mid beach, near first blow out (north of Dunedin)	Dunedin	ECSI	J	F	83	NA	Beachcast (dead on shore)	Not Applicable	Second Hector's dolphin to wash ashore in two days - calf; maybe related to previous wich stranded less than 2 km away?	Not required	Natural causes- maternal separation	Maternal separation. This calf may have been several weeks old, based on the body weight and standard length. There was no evidence of direct human interaction or other forms of trauma, and no evidence of systemic infectious disease. The small circular structure seen in the section of eye will be examined further in order to rule out toxoplasmosis in this case, although there is no accompanying inflammation, which suggests that the structure is more likely to be a degenerating nerve cell.	49091	Maternal sep	maternal separation	n	NA	NA
NA	NA	H235	Hector's dolphin	Cephalorhynchus hectori hectori	07-Feb-2013	-42.562508	171.126432	Found beachcast at Taramakau River mouth.	West Coast	WCSI	A	F	147	NA	Beachcast (dead on shore)	Not Applicable	I received a call last Tuesday from a man who said he had refloated a beachcast ‘porpoise’ out into the Taramakau River mouth. He had found the animal still alive on the beach nearby south of the river mouth, and considered that a release in the deeper ar____	"Histology summary:
Ovary (right): ovarian tumour (probable adenocarcinoma)
Ovary (left): ovarian dysgerminoma
Lung: chronic non-suppurative bronchopneumonia with intralesional bacteria
Liver: biliary cystadenoma
Thyroid: hyperplasia
Mammary gland: inactiv____"	Natural causes - disease	1 Pneumonia. 2 Bilateral ovarian tumours. 3 Possible kidney dysfunction. 4 Possible entanglement. There were several encircling marks around the head but the rest of the findings weren't typical of drowning in fishing gear. Suspected to be the animal stranded days earlier and was refloated, the empty stomach, slightly thin body condition and lung disease show this was a chronically ill animal. Likely that it stranded, was re-floated, then died at sea and was washed up or re-stranded and died.	49196	Disease	pneumonia	y	NA	NA
NA	NA	H237	Hector's dolphin	Cephalorhynchus hectori hectori	28-Feb-2013	-43.522876	172.738014	South Brighton Beach, Surf Life-saving Club, 200m south of clubhouse, Pegasus Bay, Cantenbury	Pegasus Bay	ECSI	J	F	88.5	NA	Beachcast (dead on shore)	Not Applicable	Very fresh beachcast Hector's dolphin calf, washed inshore and seen by member of the public, who called DOC, response happened by 18:30. Was first seen in water and mast have recently died. DOC officer is keeping an eye out for Mother. Retained and chille____	Not required	Natural causes- maternal separation	Diagnosis: starvation subsequent to maternal separation. This young calf died of starvation, with no evidence of any underlying disease process or traumatic incident.	49284	Maternal sep	maternal separation	n	NA	NA
NA	NA	H238	Hector's dolphin	Cephalorhynchus hectori hectori	08-Mar-2013	-44.67	167.932	Freshwater Basin - Milford Sound, West Coast	West Coast	WCSI	A	M	122	NA	Beachcast (dead on shore)	Not Applicable	Report of Beachcast Hectors in freshwaterbasin after repeated sighting of a live Hector's in Milford throughout the week. Prior no commercial fishing in Milford but a large tourism fleet is present.	Not required	Indeterminable	1. Hydrouereter. 2. Moderate parasitism. 3. Open cause of death. The actual cause of death for this animal is not clear. There was no indication of trauma or entanglement, and the very poor body condition suggests that this dolphin was either ill or unable to forage effectively. The relevance of the dilated ureter to the dolphin's illness is uncertain, but it is possible that this could have been	49350	Disease	renal disease	unknown	NA	NA
