scaffold	chrom	bgc_chrom
JAAMOC010001013.1	CHR_UNK	173
JAAMOC010001014.1	CHR_UNK	174
JAAMOC010001015.1	CHR_UNK	175
JAAMOC010001016.1	CHR_UNK	176
JAAMOC010001017.1	CHR_UNK	177
JAAMOC010001018.1	CHR_UNK	178
JAAMOC010001019.1	CHR_UNK	179
JAAMOC010001020.1	CHR_UNK	180
JAAMOC010001021.1	CHR_UNK	181
JAAMOC010001022.1	CHR_UNK	182
JAAMOC010001023.1	CHR_UNK	183
JAAMOC010001024.1	CHR_UNK	184
JAAMOC010001025.1	CHR_UNK	185
JAAMOC010001026.1	CHR_UNK	186
JAAMOC010001027.1	CHR_UNK	187
JAAMOC010001028.1	CHR_UNK	188
JAAMOC010001029.1	CHR_UNK	189
JAAMOC010001030.1	CHR_UNK	190
JAAMOC010001031.1	CHR_UNK	191
JAAMOC010001032.1	CHR_UNK	192
JAAMOC010001033.1	CHR_UNK	193
JAAMOC010001034.1	CHR_UNK	194
JAAMOC010001035.1	CHR_UNK	195
JAAMOC010001036.1	CHR_UNK	196
JAAMOC010001037.1	CHR_UNK	197
JAAMOC010001038.1	CHR_UNK	198
JAAMOC010001039.1	CHR_UNK	199
JAAMOC010001040.1	CHR_UNK	200
JAAMOC010001041.1	CHR_UNK	201
JAAMOC010001042.1	CHR_UNK	202
JAAMOC010001043.1	CHR_UNK	203
JAAMOC010001044.1	CHR_UNK	204
JAAMOC010001045.1	CHR_UNK	205
JAAMOC010001046.1	CHR_UNK	206
JAAMOC010001047.1	CHR_UNK	207
JAAMOC010001048.1	CHR_UNK	208
JAAMOC010001049.1	CHR_UNK	209
JAAMOC010001050.1	CHR_UNK	210
JAAMOC010001051.1	CHR_UNK	211
JAAMOC010001052.1	CHR_UNK	212
JAAMOC010001053.1	CHR_UNK	213
JAAMOC010001054.1	CHR_UNK	214
JAAMOC010001055.1	CHR_UNK	215
JAAMOC010001056.1	CHR_UNK	216
JAAMOC010001057.1	CHR_UNK	217
JAAMOC010001058.1	CHR_UNK	218
JAAMOC010001059.1	CHR_UNK	219
JAAMOC010000106.1	LGE22	220
JAAMOC010001060.1	CHR_UNK	221
JAAMOC010001061.1	CHR_UNK	222
JAAMOC010001062.1	CHR_UNK	223
JAAMOC010001063.1	CHR_UNK	224
JAAMOC010001064.1	CHR_UNK	225
JAAMOC010001065.1	CHR_UNK	226
JAAMOC010001066.1	CHR_UNK	227
JAAMOC010001067.1	CHR_UNK	228
JAAMOC010001068.1	CHR_UNK	229
JAAMOC010001069.1	CHR_UNK	230
JAAMOC010000107.1	LGE22	231
JAAMOC010001070.1	CHR_UNK	232
JAAMOC010001071.1	CHR_UNK	233
JAAMOC010001072.1	CHR_UNK	234
JAAMOC010001073.1	CHR_UNK	235
JAAMOC010001074.1	CHR_UNK	236
JAAMOC010001075.1	CHR_UNK	237
JAAMOC010001076.1	CHR_UNK	238
JAAMOC010001077.1	CHR_UNK	239
JAAMOC010001078.1	CHR_UNK	240
JAAMOC010001079.1	CHR_UNK	241
JAAMOC010000108.1	LGE22	242
JAAMOC010001080.1	CHR_UNK	243
JAAMOC010001081.1	CHR_UNK	244
JAAMOC010001082.1	CHR_UNK	245
JAAMOC010001083.1	CHR_UNK	246
JAAMOC010001084.1	CHR_UNK	247
JAAMOC010001085.1	CHR_UNK	248
JAAMOC010001086.1	CHR_UNK	249
JAAMOC010001087.1	CHR_UNK	250
JAAMOC010001088.1	CHR_UNK	251
JAAMOC010001089.1	CHR_UNK	252
JAAMOC010000109.1	CHR_UNK	253
JAAMOC010001090.1	CHR_UNK	254
JAAMOC010001091.1	CHR_UNK	255
JAAMOC010001092.1	CHR_UNK	256
JAAMOC010001093.1	CHR_UNK	257
JAAMOC010001094.1	CHR_UNK	258
JAAMOC010001095.1	CHR_UNK	259
JAAMOC010001096.1	CHR_UNK	260
JAAMOC010001097.1	CHR_UNK	261
JAAMOC010001098.1	CHR_UNK	262
JAAMOC010001099.1	CHR_UNK	263
JAAMOC010000110.1	CHR_UNK	264
JAAMOC010001100.1	CHR_UNK	265
JAAMOC010001101.1	CHR_UNK	266
JAAMOC010001102.1	CHR_UNK	267
JAAMOC010001103.1	CHR_UNK	268
JAAMOC010001104.1	CHR_UNK	269
JAAMOC010001105.1	CHR_UNK	270
JAAMOC010001106.1	CHR_UNK	271
JAAMOC010001107.1	CHR_UNK	272
JAAMOC010001108.1	CHR_UNK	273
JAAMOC010001109.1	CHR_UNK	274
JAAMOC010000111.1	CHR_UNK	275
JAAMOC010001110.1	CHR_UNK	276
JAAMOC010001111.1	CHR_UNK	277
JAAMOC010001112.1	CHR_UNK	278
JAAMOC010001113.1	CHR_UNK	279
JAAMOC010001114.1	CHR_UNK	280
JAAMOC010001115.1	CHR_UNK	281
JAAMOC010001116.1	CHR_UNK	282
JAAMOC010001117.1	CHR_UNK	283
JAAMOC010001118.1	CHR_UNK	284
JAAMOC010001119.1	CHR_UNK	285
JAAMOC010000112.1	CHR_UNK	286
JAAMOC010001120.1	CHR_UNK	287
JAAMOC010001121.1	CHR_UNK	288
JAAMOC010001122.1	CHR_UNK	289
JAAMOC010001123.1	CHR_UNK	290
JAAMOC010001124.1	CHR_UNK	291
JAAMOC010001125.1	CHR_UNK	292
JAAMOC010001126.1	CHR_UNK	293
JAAMOC010001127.1	CHR_UNK	294
JAAMOC010001128.1	CHR_UNK	295
JAAMOC010001129.1	CHR_UNK	296
JAAMOC010000113.1	CHR_UNK	297
JAAMOC010001130.1	CHR_UNK	298
JAAMOC010001131.1	CHR_UNK	299
JAAMOC010001132.1	CHR_UNK	300
JAAMOC010001133.1	CHR_UNK	301
JAAMOC010001134.1	CHR_UNK	302
JAAMOC010001135.1	CHR_UNK	303
JAAMOC010001136.1	CHR_UNK	304
JAAMOC010001137.1	CHR_UNK	305
JAAMOC010001138.1	CHR_UNK	306
JAAMOC010001139.1	CHR_UNK	307
JAAMOC010000114.1	CHR_UNK	308
JAAMOC010001140.1	CHR_UNK	309
JAAMOC010001141.1	CHR_UNK	310
JAAMOC010001142.1	CHR_UNK	311
JAAMOC010001143.1	CHR_UNK	312
JAAMOC010001144.1	CHR_UNK	313
JAAMOC010001145.1	CHR_UNK	314
JAAMOC010001146.1	CHR_UNK	315
JAAMOC010001147.1	CHR_UNK	316
JAAMOC010001148.1	CHR_UNK	317
JAAMOC010001149.1	CHR_UNK	318
JAAMOC010000115.1	CHR_UNK	319
JAAMOC010001150.1	CHR_UNK	320
JAAMOC010001151.1	CHR_UNK	321
JAAMOC010001152.1	CHR_UNK	322
JAAMOC010001153.1	CHR_UNK	323
JAAMOC010001154.1	CHR_UNK	324
JAAMOC010001155.1	CHR_UNK	325
JAAMOC010001156.1	CHR_UNK	326
JAAMOC010001157.1	CHR_UNK	327
JAAMOC010001158.1	CHR_UNK	328
JAAMOC010001159.1	CHR_UNK	329
JAAMOC010000116.1	CHR_UNK	330
JAAMOC010001160.1	CHR_UNK	331
JAAMOC010001161.1	CHR_UNK	332
JAAMOC010001162.1	CHR_UNK	333
JAAMOC010001163.1	CHR_UNK	334
JAAMOC010001164.1	CHR_UNK	335
JAAMOC010001165.1	CHR_UNK	336
JAAMOC010001166.1	CHR_UNK	337
JAAMOC010001167.1	CHR_UNK	338
JAAMOC010001168.1	CHR_UNK	339
JAAMOC010001169.1	CHR_UNK	340
JAAMOC010000117.1	CHR_UNK	341
JAAMOC010001170.1	CHR_UNK	342
JAAMOC010001171.1	CHR_UNK	343
JAAMOC010001172.1	CHR_UNK	344
JAAMOC010001173.1	CHR_UNK	345
JAAMOC010001174.1	CHR_UNK	346
JAAMOC010001175.1	CHR_UNK	347
JAAMOC010001176.1	CHR_UNK	348
JAAMOC010001177.1	CHR_UNK	349
JAAMOC010001178.1	CHR_UNK	350
JAAMOC010001179.1	CHR_UNK	351
JAAMOC010000118.1	CHR_UNK	352
JAAMOC010001180.1	CHR_UNK	353
JAAMOC010001181.1	CHR_UNK	354
JAAMOC010001182.1	CHR_UNK	355
JAAMOC010001183.1	CHR_UNK	356
JAAMOC010001184.1	CHR_UNK	357
JAAMOC010001185.1	CHR_UNK	358
JAAMOC010001186.1	CHR_UNK	359
JAAMOC010001187.1	CHR_UNK	360
JAAMOC010001188.1	CHR_UNK	361
JAAMOC010001189.1	CHR_UNK	362
JAAMOC010000119.1	CHR_UNK	363
JAAMOC010001190.1	CHR_UNK	364
JAAMOC010001191.1	CHR_UNK	365
JAAMOC010001192.1	CHR_UNK	366
JAAMOC010001193.1	CHR_UNK	367
JAAMOC010001194.1	CHR_UNK	368
JAAMOC010001195.1	CHR_UNK	369
JAAMOC010001196.1	CHR_UNK	370
JAAMOC010001197.1	CHR_UNK	371
JAAMOC010001198.1	CHR_UNK	372
JAAMOC010001199.1	CHR_UNK	373
JAAMOC010000120.1	CHR_UNK	374
JAAMOC010001200.1	CHR_UNK	375
JAAMOC010001201.1	CHR_UNK	376
JAAMOC010001202.1	CHR_UNK	377
JAAMOC010001203.1	CHR_UNK	378
JAAMOC010001204.1	CHR_UNK	379
JAAMOC010001205.1	CHR_UNK	380
JAAMOC010001206.1	CHR_UNK	381
JAAMOC010001207.1	CHR_UNK	382
JAAMOC010001208.1	CHR_UNK	383
JAAMOC010001209.1	CHR_UNK	384
JAAMOC010000121.1	CHR_UNK	385
JAAMOC010001210.1	CHR_UNK	386
JAAMOC010001211.1	CHR_UNK	387
JAAMOC010001212.1	CHR_UNK	388
JAAMOC010001213.1	CHR_UNK	389
JAAMOC010001214.1	CHR_UNK	390
JAAMOC010001215.1	CHR_UNK	391
JAAMOC010001216.1	CHR_UNK	392
JAAMOC010001217.1	CHR_UNK	393
JAAMOC010001218.1	CHR_UNK	394
JAAMOC010001219.1	CHR_UNK	395
JAAMOC010000122.1	CHR_UNK	396
JAAMOC010001220.1	CHR_UNK	397
JAAMOC010001221.1	CHR_UNK	398
JAAMOC010001222.1	CHR_UNK	399
JAAMOC010001223.1	CHR_UNK	400
JAAMOC010001224.1	CHR_UNK	401
JAAMOC010001225.1	CHR_UNK	402
JAAMOC010001226.1	CHR_UNK	403
JAAMOC010001227.1	CHR_UNK	404
JAAMOC010001228.1	CHR_UNK	405
JAAMOC010001229.1	CHR_UNK	406
JAAMOC010000123.1	CHR_UNK	407
JAAMOC010001230.1	CHR_UNK	408
JAAMOC010001231.1	CHR_UNK	409
JAAMOC010001232.1	CHR_UNK	410
JAAMOC010001233.1	CHR_UNK	411
JAAMOC010001234.1	CHR_UNK	412
JAAMOC010001235.1	CHR_UNK	413
JAAMOC010001236.1	CHR_UNK	414
JAAMOC010001237.1	CHR_UNK	415
JAAMOC010001238.1	CHR_UNK	416
JAAMOC010001239.1	CHR_UNK	417
JAAMOC010000124.1	CHR_UNK	418
JAAMOC010001240.1	CHR_UNK	419
JAAMOC010001241.1	CHR_UNK	420
JAAMOC010001242.1	CHR_UNK	421
JAAMOC010001243.1	CHR_UNK	422
JAAMOC010001244.1	CHR_UNK	423
JAAMOC010001245.1	CHR_UNK	424
JAAMOC010001246.1	CHR_UNK	425
JAAMOC010001247.1	CHR_UNK	426
JAAMOC010001248.1	CHR_UNK	427
JAAMOC010001249.1	CHR_UNK	428
JAAMOC010000125.1	CHR_UNK	429
JAAMOC010001250.1	CHR_UNK	430
JAAMOC010001251.1	CHR_UNK	431
JAAMOC010001252.1	CHR_UNK	432
JAAMOC010001253.1	CHR_UNK	433
JAAMOC010001254.1	CHR_UNK	434
JAAMOC010001255.1	CHR_UNK	435
JAAMOC010001256.1	CHR_UNK	436
JAAMOC010001257.1	CHR_UNK	437
JAAMOC010001258.1	CHR_UNK	438
JAAMOC010001259.1	CHR_UNK	439
JAAMOC010000126.1	CHR_UNK	440
JAAMOC010001260.1	CHR_UNK	441
JAAMOC010001261.1	CHR_UNK	442
JAAMOC010001262.1	CHR_UNK	443
JAAMOC010001263.1	CHR_UNK	444
JAAMOC010001264.1	CHR_UNK	445
JAAMOC010001265.1	CHR_UNK	446
JAAMOC010001266.1	CHR_UNK	447
JAAMOC010001267.1	CHR_UNK	448
JAAMOC010001268.1	CHR_UNK	449
JAAMOC010001269.1	CHR_UNK	450
JAAMOC010000127.1	CHR_UNK	451
JAAMOC010001270.1	CHR_UNK	452
JAAMOC010001271.1	CHR_UNK	453
JAAMOC010001272.1	CHR_UNK	454
JAAMOC010001273.1	CHR_UNK	455
JAAMOC010001274.1	CHR_UNK	456
JAAMOC010001275.1	CHR_UNK	457
JAAMOC010001276.1	CHR_UNK	458
JAAMOC010001277.1	CHR_UNK	459
JAAMOC010001278.1	CHR_UNK	460
JAAMOC010001279.1	CHR_UNK	461
JAAMOC010000128.1	CHR_UNK	462
JAAMOC010001280.1	CHR_UNK	463
JAAMOC010001281.1	CHR_UNK	464
JAAMOC010001282.1	CHR_UNK	465
JAAMOC010001283.1	CHR_UNK	466
JAAMOC010001284.1	CHR_UNK	467
JAAMOC010001285.1	CHR_UNK	468
JAAMOC010001286.1	CHR_UNK	469
JAAMOC010001287.1	CHR_UNK	470
JAAMOC010001288.1	CHR_UNK	471
JAAMOC010001289.1	CHR_UNK	472
JAAMOC010000129.1	CHR_UNK	473
JAAMOC010001290.1	CHR_UNK	474
JAAMOC010001291.1	CHR_UNK	475
JAAMOC010001292.1	CHR_UNK	476
JAAMOC010001293.1	CHR_UNK	477
JAAMOC010001294.1	CHR_UNK	478
JAAMOC010001295.1	CHR_UNK	479
JAAMOC010001296.1	CHR_UNK	480
JAAMOC010001297.1	CHR_UNK	481
JAAMOC010001298.1	CHR_UNK	482
JAAMOC010001299.1	CHR_UNK	483
JAAMOC010000130.1	CHR_UNK	484
JAAMOC010001300.1	CHR_UNK	485
JAAMOC010001301.1	CHR_UNK	486
JAAMOC010001302.1	CHR_UNK	487
JAAMOC010001303.1	CHR_UNK	488
JAAMOC010001304.1	CHR_UNK	489
JAAMOC010001305.1	CHR_UNK	490
JAAMOC010001306.1	CHR_UNK	491
JAAMOC010001307.1	CHR_UNK	492
JAAMOC010001308.1	CHR_UNK	493
JAAMOC010001309.1	CHR_UNK	494
JAAMOC010000131.1	CHR_UNK	495
JAAMOC010001310.1	CHR_UNK	496
JAAMOC010001311.1	CHR_UNK	497
JAAMOC010001312.1	CHR_UNK	498
JAAMOC010001313.1	CHR_UNK	499
JAAMOC010001314.1	CHR_UNK	500
JAAMOC010001315.1	CHR_UNK	501
JAAMOC010001316.1	CHR_UNK	502
JAAMOC010001317.1	CHR_UNK	503
JAAMOC010001318.1	CHR_UNK	504
JAAMOC010001319.1	CHR_UNK	505
JAAMOC010000132.1	CHR_UNK	506
JAAMOC010001320.1	CHR_UNK	507
JAAMOC010001321.1	CHR_UNK	508
JAAMOC010001322.1	CHR_UNK	509
JAAMOC010001323.1	CHR_UNK	510
JAAMOC010001324.1	CHR_UNK	511
JAAMOC010001325.1	CHR_UNK	512
JAAMOC010001326.1	CHR_UNK	513
JAAMOC010001327.1	CHR_UNK	514
JAAMOC010001328.1	CHR_UNK	515
JAAMOC010001329.1	CHR_UNK	516
JAAMOC010000133.1	CHR_UNK	517
JAAMOC010001330.1	CHR_UNK	518
JAAMOC010001331.1	CHR_UNK	519
JAAMOC010001332.1	CHR_UNK	520
JAAMOC010001333.1	CHR_UNK	521
JAAMOC010001334.1	CHR_UNK	522
JAAMOC010001335.1	CHR_UNK	523
JAAMOC010001336.1	CHR_UNK	524
JAAMOC010001337.1	CHR_UNK	525
JAAMOC010001338.1	CHR_UNK	526
JAAMOC010001339.1	CHR_UNK	527
JAAMOC010000134.1	CHR_UNK	528
JAAMOC010001340.1	CHR_UNK	529
JAAMOC010001341.1	CHR_UNK	530
JAAMOC010001342.1	CHR_UNK	531
JAAMOC010001343.1	CHR_UNK	532
JAAMOC010001344.1	CHR_UNK	533
JAAMOC010001345.1	CHR_UNK	534
JAAMOC010001346.1	CHR_UNK	535
JAAMOC010001347.1	CHR_UNK	536
JAAMOC010001348.1	CHR_UNK	537
JAAMOC010001349.1	CHR_UNK	538
JAAMOC010000135.1	CHR_UNK	539
JAAMOC010001350.1	CHR_UNK	540
JAAMOC010001351.1	CHR_UNK	541
JAAMOC010001352.1	CHR_UNK	542
JAAMOC010001353.1	CHR_UNK	543
JAAMOC010001354.1	CHR_UNK	544
JAAMOC010001355.1	CHR_UNK	545
JAAMOC010001356.1	CHR_UNK	546
JAAMOC010001357.1	CHR_UNK	547
JAAMOC010001358.1	CHR_UNK	548
JAAMOC010001359.1	CHR_UNK	549
JAAMOC010000136.1	CHR_UNK	550
JAAMOC010001360.1	CHR_UNK	551
JAAMOC010001361.1	CHR_UNK	552
JAAMOC010001362.1	CHR_UNK	553
JAAMOC010001363.1	CHR_UNK	554
JAAMOC010001364.1	CHR_UNK	555
JAAMOC010001365.1	CHR_UNK	556
JAAMOC010001366.1	CHR_UNK	557
JAAMOC010001367.1	CHR_UNK	558
JAAMOC010001368.1	CHR_UNK	559
JAAMOC010001369.1	CHR_UNK	560
JAAMOC010000137.1	CHR_UNK	561
JAAMOC010001370.1	CHR_UNK	562
JAAMOC010001371.1	CHR_UNK	563
JAAMOC010001372.1	CHR_UNK	564
JAAMOC010001373.1	CHR_UNK	565
JAAMOC010001374.1	CHR_UNK	566
JAAMOC010001375.1	CHR_UNK	567
JAAMOC010001376.1	CHR_UNK	568
JAAMOC010001377.1	CHR_UNK	569
JAAMOC010001378.1	CHR_UNK	570
JAAMOC010001379.1	CHR_UNK	571
JAAMOC010000138.1	CHR_UNK	572
JAAMOC010001380.1	CHR_UNK	573
JAAMOC010001381.1	CHR_UNK	574
JAAMOC010001382.1	CHR_UNK	575
JAAMOC010001383.1	CHR_UNK	576
JAAMOC010001384.1	CHR_UNK	577
JAAMOC010001385.1	CHR_UNK	578
JAAMOC010001386.1	CHR_UNK	579
JAAMOC010001387.1	CHR_UNK	580
JAAMOC010001388.1	CHR_UNK	581
JAAMOC010001389.1	CHR_UNK	582
JAAMOC010000139.1	CHR_UNK	583
JAAMOC010001390.1	CHR_UNK	584
JAAMOC010001391.1	CHR_UNK	585
JAAMOC010001392.1	CHR_UNK	586
JAAMOC010001393.1	CHR_UNK	587
JAAMOC010001394.1	CHR_UNK	588
JAAMOC010001395.1	CHR_UNK	589
JAAMOC010001396.1	CHR_UNK	590
JAAMOC010001397.1	CHR_UNK	591
JAAMOC010001398.1	CHR_UNK	592
JAAMOC010001399.1	CHR_UNK	593
JAAMOC010000140.1	CHR_UNK	594
JAAMOC010001400.1	CHR_UNK	595
JAAMOC010001401.1	CHR_UNK	596
JAAMOC010001402.1	CHR_UNK	597
JAAMOC010001403.1	CHR_UNK	598
JAAMOC010001404.1	CHR_UNK	599
JAAMOC010001405.1	CHR_UNK	600
JAAMOC010001406.1	CHR_UNK	601
JAAMOC010001407.1	CHR_UNK	602
JAAMOC010001408.1	CHR_UNK	603
JAAMOC010001409.1	CHR_UNK	604
JAAMOC010000141.1	CHR_UNK	605
JAAMOC010001410.1	CHR_UNK	606
JAAMOC010001411.1	CHR_UNK	607
JAAMOC010001412.1	CHR_UNK	608
JAAMOC010001413.1	CHR_UNK	609
JAAMOC010001414.1	CHR_UNK	610
JAAMOC010001415.1	CHR_UNK	611
JAAMOC010001416.1	CHR_UNK	612
JAAMOC010001417.1	CHR_UNK	613
JAAMOC010001418.1	CHR_UNK	614
JAAMOC010001419.1	CHR_UNK	615
JAAMOC010000142.1	CHR_UNK	616
JAAMOC010001420.1	CHR_UNK	617
JAAMOC010001421.1	CHR_UNK	618
JAAMOC010001422.1	CHR_UNK	619
JAAMOC010001423.1	CHR_UNK	620
JAAMOC010001424.1	CHR_UNK	621
JAAMOC010001425.1	CHR_UNK	622
JAAMOC010001426.1	CHR_UNK	623
JAAMOC010001427.1	CHR_UNK	624
JAAMOC010001428.1	CHR_UNK	625
JAAMOC010001429.1	CHR_UNK	626
JAAMOC010000143.1	CHR_UNK	627
JAAMOC010001430.1	CHR_UNK	628
JAAMOC010001431.1	CHR_UNK	629
JAAMOC010001432.1	CHR_UNK	630
JAAMOC010001433.1	CHR_UNK	631
JAAMOC010001434.1	CHR_UNK	632
JAAMOC010001435.1	CHR_UNK	633
JAAMOC010001436.1	CHR_UNK	634
JAAMOC010001437.1	CHR_UNK	635
JAAMOC010001438.1	CHR_UNK	636
JAAMOC010001439.1	CHR_UNK	637
JAAMOC010000144.1	CHR_UNK	638
JAAMOC010001440.1	CHR_UNK	639
JAAMOC010001441.1	CHR_UNK	640
JAAMOC010001442.1	CHR_UNK	641
JAAMOC010001443.1	CHR_UNK	642
JAAMOC010001444.1	CHR_UNK	643
JAAMOC010001445.1	CHR_UNK	644
JAAMOC010001446.1	CHR_UNK	645
JAAMOC010001447.1	CHR_UNK	646
JAAMOC010001448.1	CHR_UNK	647
JAAMOC010001449.1	CHR_UNK	648
JAAMOC010000145.1	CHR_UNK	649
JAAMOC010001450.1	CHR_UNK	650
JAAMOC010001451.1	CHR_UNK	651
JAAMOC010001452.1	CHR_UNK	652
JAAMOC010001453.1	CHR_UNK	653
JAAMOC010001454.1	CHR_UNK	654
JAAMOC010001455.1	CHR_UNK	655
JAAMOC010001456.1	CHR_UNK	656
JAAMOC010001457.1	CHR_UNK	657
JAAMOC010001458.1	CHR_UNK	658
JAAMOC010001459.1	CHR_UNK	659
JAAMOC010000146.1	CHR_UNK	660
JAAMOC010001460.1	CHR_UNK	661
JAAMOC010001461.1	CHR_UNK	662
JAAMOC010001462.1	CHR_UNK	663
JAAMOC010001463.1	CHR_UNK	664
JAAMOC010001464.1	CHR_UNK	665
JAAMOC010001465.1	CHR_UNK	666
JAAMOC010001466.1	CHR_UNK	667
JAAMOC010001467.1	CHR_UNK	668
JAAMOC010001468.1	CHR_UNK	669
JAAMOC010001469.1	CHR_UNK	670
JAAMOC010000147.1	CHR_UNK	671
JAAMOC010001470.1	CHR_UNK	672
JAAMOC010001471.1	CHR_UNK	673
JAAMOC010001472.1	CHR_UNK	674
JAAMOC010001473.1	CHR_UNK	675
JAAMOC010001474.1	CHR_UNK	676
JAAMOC010001475.1	CHR_UNK	677
JAAMOC010001476.1	CHR_UNK	678
JAAMOC010001477.1	CHR_UNK	679
JAAMOC010001478.1	CHR_UNK	680
JAAMOC010001479.1	CHR_UNK	681
JAAMOC010000148.1	CHR_UNK	682
