Checked	Species_name	Common_name	Code	Date_stranded	Date_received	Location	Region	Ocean	Cause_of_death	Sex	Who		Source	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ05 (H90/04)	11/12/2004	unsure	Orepuki Beach 54232000 2004100	Southland			Male	"Ros Cole and John Garret, DoC Murihiku"					Yes		TL = 72.5cm	"Two samples, one disposed. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ06 (H67/03)	30/01/2004		Sumner Beach										Yes		"TL = 1.41m possible knife marks, been dead for about 1 week found under driftwood, digital prints sent"	"Three samples, two disposed (two out of three in Becca's box). Massey code: WS06-07Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ07 (H79/04)	?												Yes		"TL = 1.3mcaught in net, possible gun shot wounds"	"Two samples, one disposed. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ08													Yes		TL = 0.72m	"Three samples, two disposed (two out of three in Becca's box). Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ09 (H82/04)													Yes		Tl = 1.21m	"Two samples, one disposed. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ10															TL = 1.24msample found in Kirsty's fridge Aug 06	"Three samples, two disposed. Massey code: WB05-09Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ11 (H84/04)	09/10/2004		New Brighton Beach				Female								TL = 0.72msample found in Kirsty's fridge Aug 06	"Two samples, one disposed. Massey code: WB05-06 Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ12 (H84/04)	09/10/2004		New Brighton Beach													Added to the database by Sahar. Massey code: 	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ13 (H86/04)	14/11/2004		Orepuki-Southland. Halfway along the beach from Orepuki. 	Southland			Female									Added to the database by Sahar. Massey code: WB05-10 Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ15 (H89/04)	09/12/2004		"Tumbledown Bay, Southern Banks Peninsula "				Male									Added to the database by Sahar. Massey code: WB05-11 Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che04NZ15 (H91/04)	21/12/2004		"Robinson Bay, Banks Peninsula "													Same as Che05NZ08. Added to the database by Sahar. Massey code: WB05-31 Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ01 (H95/05)	19/01/2005	Feb-05	Three mile beach Okarito NZMS 260 H35 Franz Josef	West Coast	Tasman		Unknown	"Bryce Lummis, DoC Hokitika"								Added to the database by Sahar. Massey code: WS05-32 Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ02 (H98/05)	09/02/2005	Feb-05	40km north of Westport on Nikau Beach	West Coast	Tasman		Male	Martin Abel and Scott Freeman DoC Buller								Added to the database by Sahar. Massey code: WS05-33 Chh	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ03 (H99/05)	18/02/2005	Feb-05	Neils Beach south of Haast 260 E37 605813	West Coast	Tasman		Male	"Robin Manera, DoC South Westland"			species id		Yes	Yes	"very decomposed black and white prints enclosedmol sex, mol id Debbie Aug 06"	Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ04 (H102/05)	02/11/2005	Nov-05	"Neils Beach Jackson Bay, South Westland"	West Coast	Tasman	net entranglement	Unknown	"Don Neale, DoC South Westland"			confirm species & sex	Yes	Yes	Yes	TL = 76cmPhotos taken but not provided	"Four samples, three disposed (three out of four in Becca's box). Massey code: WS06-Chh"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ05 (H103/05)	02/11/2005	Nov-05	"Neils Beach Jackson Bay, South Westland"	West Coast	Tasman	net entranglement	Male	"Don Neale, DoC South Westland"				Yes	Yes		TL = 69cmPhotos taken but not supplied	"Three samples, one disposed. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ06 (H104/05)	02/11/2005	Nov-05	"Neils Beach Jackson Bay, South Westland"	West Coast	Tasman	net entranglement	Male	"Don Neale, DoC South Westland"				Yes	Yes	Yes	TL = 156 cmOn beack with U06-191 - calfCarcass sent to Massey University	"Two samples, one disposed. Massey code: WS06-26Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ07 (H105/05)	02/11/2005	Nov-05	"Neils Beach Jackson Bay, South Westland"	West Coast	Tasman	net entranglement	Male	"Don Neale, DoC South Westland"				Yes	Yes	Yes	"TL = 78 cmOn beach with U06-190, this is the calfCarcass sent to Massey University"	"Two samples, one disposed. Massey code: WS06-25Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ08 (H106/05)	23/11/2005	Dec-05	Fossil Point base of farewell spit M24 777 87200	Nelson	Tasman		Unknown	"Mike Ogle and Clayton Ross, DoC Golden Bay"				Yes	Yes	Yes	TL = 130.5 cmGPS reference 2434954 6017040	"Three samples, two disposed. Massey code: WS06-16Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ09 (H109/05)	06/12/2005	Jan-06	1km South of Waimea Creek between Arahura and taramakau Rivers NZMS260 2351300 5839400	West Coast	tasman		Unknown	"Paul van Klink, Ron van Mierlo DoC Hokitika"					Yes		TL = 143 cmWhole animal sent to Massey UniPhotocopies of photos provided	"Two samples, one disposed. Massey code: WS06-19Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ10 (H110/05)	11/12/2005	Jan-06	Okarito Bar 5772644 2279369	West Coast	Tasman		Unknown	Bryce lummis and Paul van Klink DoC Hokitika			sex	Yes	Yes	Yes	TL = 125cmPhotos taken but not provided	"Three samples, two disposed. Massey code: WS06-23Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ11 (H111/05)	15/12/2005	Jan-06	Te Waewae Bay ENE roughly N2079085 E5436144	Southland			Unknown	"Sally Chesterfield, DoC Murihiku"								"No data available. Added to the database by Sahar. THree samples, Two disposed (one out of three samples in Becca's box). Massey code: WS06-24Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ12 (H114/06)	22/12/2005	Jan-06	"3N miles north of Potato point, 1.5-2Nmiles east of seacliff"	Otago	Pacific Ocean	net entanglement	Male	"Les Douglas, DoC Dunedin"					Yes		Decomposed carcass - dried outPhotocopies of photos provided	"Originally was named as ""Che07NZ01"" but changed to ""Che06NZ10"" because of the year of collection (2006) and exisiting of another sample called ""Chem07NZ01"" which could be confusing. Three samples, two disposed. Massey code: WS07-04Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ13 (H92/05)	05/01/2005	unsure	Carters beach K29 23895 59387	West Coast	Tasman		Male	"Martin Abel, DoC Buller"				No	Yes	Yes	T.L. = 158cmH153/07 DoC code	One big sample tube. A part of it transformed into a new tube and the rest was discarded. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ14 (H94/05)	15/01/2005	unsure	Halfway between Ross and the Mikonui mussel bed NZMS260 I33 58110 23295	West Coast	Tasman		Male	"Don Neale, DoC Hokitika"					Yes		TL = 143 cmBycatch in recreational set netPhotos provided	"Two samples, one disposed. Massey code: W07-06Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ15 (H93/05)	05/01/2005		Te Waewae bay just west of ÔMcCrackenÕs Rest towards Waiau River mouth 										Yes		TL = 92 cm	"Three samples, two disposed. Massey code: W07-03Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ16 (H96/05)	04/02/2005		North Side of Rangitata Huts 										Yes		Spine and tail fluke only. Head & fins missing.Photos provided	"Two samples, combined. Massey code: W07-07Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ17 (H97/05)	04/02/2005		North Side of Rangitata Huts 										Yes		T.L. = 128.4 cmDoC # H136/07	"Two samples, one disposed. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ18 (H106/05)	23/11/2005		Fossil Point base of Farewell Spit M24 777 87200										Yes		"T.L. = 124 cmphotos taken, not providedDoC# HD135/07"	"Two samples, one disposed. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ19 (H107/05)	04/12/2005		"Orepuki Beach, Te Waewae Bay"										Yes		T.L. = 88 cmDoC#H130/06	"Three samples, two disposed. Massey code: W07-05Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che05NZ20 (H108/05)	?		"neonate stranded on lower NI, Pekapeka Beach"										Yes		DecomposedDoC # H142/07	"Two samples, one disposed. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che06NZ01 (H121/06; U06-85)	21/04/2006	Apr-06	North of Hokitika 23444 58320	West Coast	tasman		UnknownMale	"Don Neale, DoC Hokitika"					Yes	Yes	"T.L. = 152 cmDoC # 140/07Dolphin seen dead floating, fisherman attempt to retrieve unsuccessfulWashed up next day, presumed the same dolphin"	One big sample tube. A part of it transformed into a new tube and the rest was discarded. Massey code: W07-12Ch  	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che06NZ03 (H124/06; U06-130)	10/11/2006	Nov-06	Farewell Spit (NZMS260 M24 893 775)	Marlborough	Tasman Sea		Female	Mike Ogle/Clayton Ross DoC Golden Bay					Yes		Tail missing DoC #H147/07	"Two samples, one disposed. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Chem06NZ05 (H128/06; U06-191)	03/12/2006	Dec-06	"North Kariotahi Beach, Waiuku"	Auckland	Tasman		Female	"Karl McLeod, DoC Auckland"					Yes		DoC#H149/07T.L. = 143cm	"Two samples, one disposed. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che06NZ06 (H122/06; U06-117)	04/09/2006	Sep-06	"Twin Beaches, Heaphy Track, Buller"	"Buller, West Coast"	Tasman Sea		Male	"E. Quinn, DoC Golden Bay & Buller AO"							T.L. = 72 cmcopies of photos provided	Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che06NZ07 (H123/06; U06-122)	12/10/2006	Oct-06	"Sewage ponds beach, Hokitika (23449 58326 NZMS260 J32)"	West Coast	Tasman		Female	"Don Neale, DoC Hokitika"			species id	No		Yes	spinal column found with flesh at caudal end	"Two samples, one disposed. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che06NZ08 (H126/06; U06-187)	30/11/2006	Dec-06	Te Wae Wae Bay (N2084340 E5436386)	Southland	Pacific		Male	"Sally Chesterfiled& Fred Brock, DoC Hurihiku"							"TL=1.12 m2 large shark bites.(NZ MS 260 I, J 44 268925)"	"Three samples, two disposed. Massey code: W07-29Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che06NZ09 (H129/06)	?											No	Yes	No	T.L. = 116cm. Hectors.DoC#141/07. Extracted Marc and Sex ID confirmed.	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che06NZ10 (H131/06; U07-007) 	18/12/2006	Jan-07	"Washdyke Lagoon, Timaru (E2370649 N5647611)"	Timaru	Pacific		Male	"S. Harraway, DoC Raukapuka"				No	Yes	No	T.L. = 145cmDoc#145/07. Extracted Marc. Sex ID and Species but sequence very messy (ME539)	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ02 (H133/07; U07-010)	07/01/2007	Jan-07	"Gillespie Beach, South Westland"	West Coast	Tasman		Female	"Myles Riki & Don Neale, DoC Hokitika"				No	Yes	No	DoC# H148/07Incomplete dolphinSpine & partial tail only. Extracted by Marc. Sex ID Becca?	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ03 (H132/07; U07-011) 	06/01/2007	Jan-07	"Port Craig, Kaiapoi"	Canterbury	Pacific		Female	"Sally Chesterfield & Ros Cole, DoC Hurihiku"								Added to the database by Sahar. Massey code: W07-08Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ04 (H134/07; U07-012) 	18/01/2007	Jan-07	"Hokitika Beach, Hokitika"	West Coast	Tasman		Female	"Don Neale, DoC Hokitika"								No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: W07-32Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ05 (H136/07; U07-050)	20/02/2007	Mar-07	"Rarangi Beach, Blenheim"	Marlborough	Pacific		Male	"Mike Morrissey, DoC Kaikoura"							"TL=0.540 mPhotos taken, not providedFresh."	"Four samples, one in the U08 box. Three disposed. Massey code: W08-01Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ06 (H135/07; U07-052)	16/02/2007	Mar-07	"North Motuhinau River mouth, Westport"	West Coast	Tasman		Male	"Doug Cairns, DoC Westport"								"Added to the database by Sahar. Two samples, one disposed. Massey code: W08-15Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ07 (H130/06; U07-053)	07/12/2006	Apr-07	Gore Bay		Pacific		Male	"Wayne Beggs/Dave Milard, DoC Mahaanui"							"T.L. = 139cmHector's ID #H163/08Carcass had been dragged up from the intertidal zone to high tide line, recovered six hours later.No net marks/obvious injuries other than gulls.Placed in freezer at DOC office GreymouthPhotos taken, not provided."	"Two samples, one disposed. Massey code: W08-10Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ08 (H142/07; U07-056)	20/03/2007	May-07	"South Ure River Mouth, Marlborough"	Marlborough	Pacific		Male	"Jan Clayton-Greene, DoC South Marlborough"							H165-08 DoC codeTail and vertebrae onlyphoto provided	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ10 (H147/07; U07-067)	11/05/2007	May-07	"Lake Grassmere, Marlborough"	Marlborough	Pacific		Male	"Claire Wooldridge Way & Malcolm Brennan, DoC South Marlborough"							H167/08 DoC numberT.L. = 145 cm	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples, one disposed. Massey code: W08-20Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ11 (H149/07; U07-089)	27/07/2007	Aug-07	"Larsen Rd Beach Access, West Coast"	West Coast	Tasman Sea		Male	"Russell Bromley, DoC Buller/Kawatiri"							No data sheet sent inTail with spine attached	"Three samples, two disposed. Massey code: W08-10Ch (same as Che08NZ03?)"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ12 (H156/07; U07-123)	22/12/2007	Jan-08	"Takutai, South of Hokitika"	West Coast	Tasman Sea		Male	"Don Neale, DoC Hokitika"							T.L. = 141 cmCD of photos provided	"Three samples, two disposed. Massey code: W08-21Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ13 (H151/07; U07-107)	25/10/2007	Oct-07	"South of Waitaha River, Franz Josef"	West Coast	Tasman Sea		Female	"Don Neale, DoC Hokitika"							T.L. = 67 cmcopies of photos provided	"Two samples, one disposed. Massey code: W08-24Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ14 (H155/07; U07-126)	14/12/2007		"Long Beach, north of Heyward Pt. Central Otago"					"Jim Fyfe, Doc Coastal Otago"							T.L. = 80 cm. Sex & Sp ID Becca.DoC # Copies of photos provided	"Two samples, one disposed. Massey code: W08-26Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ15 (H141/07; U07-075)	13/03/2007	Jul-07	"1.5km South of Granity, Buller"	West Coast	Tasman Sea		UnknownMale	"Doug Cairns, DoC Buller"								No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: W08-04Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ16 (H145/07; U07-076)	29/04/2007	Jul-07	"Barrytown, Punakaiki"	West Coast	Tasman Sea		Male	"T. Mitchell & P. Grant, DoC Buller"								No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: W08-04Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ17 (H148/07; U07-088)	25/07/2007	Aug-07	"9 Mile Beach, South of Cape Foulwind"	West Coast	Tasman Sea		Female	"Russell Bromley, DoC Buller/Kawatiri"								No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: W08-19Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ18 (H117/06)	01/02/2006		"South of Patiti Point, Timaru"													No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: W08-18Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che07NZ19 (H154/07)																No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ01 (H157/08; U08-004)	08/01/2008		Te Waewae Bay					"Sally Chesterfield, DoC Murihiku"							t.l. = 76.5cm	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples, one disposed. Massey code: W09-04Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ02 (H162/08; U08-048)	03/07/2008		Waimangaroa North												"Hectors DoC ID#H184/09, office file # NHS-09_01_01 SL-5. Only head recovered so no body measurements."	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Three samples (including one tooth sample), one disposed. Massey code: W09-04Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ03 (H163/03; U08-055)	02/08/2008	Aug-08	"Paroa Beach 200m North of School, near Greymouth Map Reference J32 593359"	West Coast	Tasman		Female	"Henk Stengs, DOC Greymouth"				No	Yes	No	Body came in dead on incoming tide. Recoverd and kept on ice. Viewed by Steve Dawson and considered to be ~6weeks old. TL=0.818m. Office file no. NHS-09-01-01. H192-09. Extracted by RMH.	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples (one out of two in Becca's box), one disposed. Massey code: W09-21Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ04 (H165/08; U08-060)	05/09/2008	Sep-08	"Blaketown Beach, Greymouth"	West Coast	Tasman Sea			"Henk Stengs, DoC Greymouth"				No	Yes	No	H193/09. DoC file no. NHS-09-05-08. Stranding no. WC265. Decomposed. Body to Massey University. Extracted by RMH.	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples, one disposed. The one kept is labled as teeth but there is no tooth. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ05 (H167/08; U08-065)	03/10/2008	Oct-08	"Ross beach, Hokitika"	West Coast	Tasman Sea			"Ted Brennan, DoC Hokitika"								"Added to the database by Sahar. Two samples, one in Becca's box. Both kept because one was teeth. Massey code: W09-08Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ06 (H164/08; U08-069)	?	Nov-08	"Flowery Creek, West Coast"	West Coast	Tasman Sea		Female	"David Eastwood, DoC Hokitika"								"Two samples, both kept because one was teeth. Massey code: W09-10Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ07 (H169/08; U08-070)	07/11/2008	Nov-08	"Hector Beach, Hector, West Coast"	West Coast	Tasman Sea		Female	"Daniel Sawyer & Chris Abel, DoC Buller Kawatiri"								"Added to the database by Sahar. Two samples, one in Becca's box. Both kept because one was teeth. Massey Code: W09-12Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ08 (H170/08; U08-072)	15/11/2008	Nov-08	"North End Hokitika, Westland"	West Coast	Tasman Sea		UnknownMale	"Don Neale, DoC Hokitika"								Teeth sample	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ09 (H171/08; U08-081)	05/12/2008	Dec-08	"South Spit, Hokitika River Mouth"	West Coast	Tasman Sea		Female	"Don Neale, DoC Hokitika"								"Added to the database by Sahar. Two samples, one in Becca's box. Both kept because one was teeth. Massey code: W09-15Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ10 (H158/08)																"Added to the database by Sahar. Two samples, one in Becca's box. Both kept because one was teeth. Massey code: W09-19Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ11 (H159/08)																No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ12 (H166/08)																No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: W09-01Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ13 (H168/08)																No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: W09-09Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che08NZ14 (H173/08)																No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: W09-05Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ01 (H177/09; U09-004)	05/02/2009	Feb-09	"Punakaiki Beach, West Coast"	West Coast	Tasman Sea			"Chippy Wood, DoC Punakaiki/Paparoa"								No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ02 (H184/09; U09-137)	09/08/2018		"Te Waewae Bay, Southland."	Southland	Tasman			"Greig Funnell (TSO Southland), DoC Murihiku."								No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: W09-18Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ03 (H192/09; U09-175)	12/12/2009		"Purakaunui Inlet, Purakaunui"	Otago	Pacific		Female	"Matt Elison, DoC Central Otago"								No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: W09-21Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ04 (H193/09; U09-177)	24/12/2009		"Bold Head, West Coast, South Island"	"West Coast, South Island"	Tasman		Unknown	"Don Neale, DoC Hokitika"				No	Yes	No	ID#H196/10. TL=1.37m. Body fresh with cuts consistent with net entanglement. Sent to Wendy Roe at Massey. Extracted by RMH.	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples (one out of two in Becca's box), one disposed. Massey code: W10-03Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ05 (H179/09; U09-209)	11/03/2009		South Brighton									No	Yes	No	H194/10. Hectors calf.	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples, both kept becasuse one was teeth. Massey code: W10-02Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ06 (H181/09; U09-210)	25/03/2009		Timaru port 									No	Yes	No	Hector's dolphin ID#H199/10. TL=1.39m. Very fresh. Body sent to Massey.	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Three samples, two kept becasuse one was teeth. Massey code: None"	
